orf19_id	a22_systematic_name	gene_name	other_alleles
orf19.1317	C4_03590C_A	OSH3	C4_03590C_B
orf19.132	C6_01220C_A		C6_01220C_B
orf19.1323	C4_03560W_A		C4_03560W_B
orf19.1324	C4_03550W_A	RAD2	C4_03550W_B
orf19.1331	C7_03450C_A	HSM3	C7_03450C_B
orf19.1335	C7_03400C_A		C7_03400C_B
orf19.1336	C7_03390C_A	PUP3	C7_03390C_B
orf19.1336.2	C7_03380W_A		C7_03380W_B
orf19.1338	C7_03370C_A		C7_03370C_B
orf19.1339	C7_03360W_A	CPY1	C7_03360W_B
orf19.1340	C7_03350C_A		C7_03350C_B
orf19.1342	C7_03330C_A	SHM1	C7_03330C_B
orf19.1343	C7_03320C_A	MED16	C7_03320C_B
orf19.135	C6_01280W_A	EXO84	C6_01280W_B
orf19.1352	C2_08310W_A	TIM22	C2_08310W_B
orf19.1354	C2_08290C_A	UCF1	C2_08290C_B
orf19.1355	C2_09970C_A		C2_09970C_B
orf19.1356	C2_09960W_A		C2_09960W_B
orf19.1357	C2_09950W_A	FCY21	C2_09950W_B
orf19.1358	C2_09940W_A	GCN4	C2_09940W_B
orf19.1359	C2_09930W_A		C2_09930W_B
orf19.136	C6_01290C_A	QDR3	C6_01290C_B
orf19.1360	C2_09920W_A		C2_09920W_B
orf19.1361	C2_09900C_A	TIM23	C2_09900C_B
orf19.1362	C2_09890W_A	SMM1	C2_09890W_B
orf19.1363	C2_09880C_A		C2_09880C_B
orf19.1367	C2_09840W_A	MTW1	C2_09840W_B
orf19.137	C6_01300W_A		C6_01300W_B
orf19.1372	C2_09780C_A		C2_09780C_B
orf19.1373	C2_09770C_A	INP51	C2_09770C_B
orf19.1376	C2_09740W_A	SSO2	C2_09740W_B
orf19.1377	C2_09730C_A	IPK2	C2_09730C_B
orf19.1378	C2_09720W_A	SUP35	C2_09720W_B
orf19.138	C6_01310W_A	FIG1	C6_01310W_B
orf19.1381	C2_09710C_A		C2_09710C_B
orf19.1382	C2_09700W_A	YEA4	C2_09700W_B
orf19.1386	C2_09680W_A		C2_09680W_B
orf19.1387	C2_09670C_A		C2_09670C_B
orf19.1388	C2_09660W_A		C2_09660W_B
orf19.1389	C2_09650W_A		C2_09650W_B
orf19.139	C6_01320W_A	TRA1	C6_01320W_B
orf19.1390	C2_09640W_A	PMI1	C2_09640W_B
orf19.1392	C2_09620W_A		C2_09620W_B
orf19.1393	C2_09610W_A		C2_09610W_B
orf19.1394	C2_09600C_A		C2_09600C_B
orf19.1395	C2_09590C_A		C2_09590C_B
orf19.1396	C2_09580W_A	AGE2	C2_09580W_B
orf19.1402	C2_09520C_A	CCT2	C2_09520C_B
orf19.1403	C2_09510C_A		C2_09510C_B
orf19.1404	C2_09500W_A		C2_09500W_B
orf19.1406	C2_09480W_A		C2_09480W_B
orf19.1409	C4_04370C_A	VAC7	C4_04370C_B
orf19.1409.1	C4_04390W_A		C4_04390W_B
orf19.1413	C4_04340C_A	YFH1	C4_04340C_B
orf19.1416	C4_04310W_A	COX11	C4_04310W_B
orf19.1418	C4_04290W_A	SEC15	C4_04290W_B
orf19.1420	C4_04280C_A		C4_04280C_B
orf19.1421	C4_04270W_A		C4_04270W_B
orf19.1422	C4_04260C_A	FZO1	C4_04260C_B
orf19.1424	C4_04250W_A		C4_04250W_B
orf19.1426	C4_04240C_A		C4_04240C_B
orf19.1427	C4_04230W_A		C4_04230W_B
orf19.1429	C4_04210C_A	SOH1	C4_04210C_B
orf19.1434	C2_08380C_A		C2_08380C_B
orf19.1435	C2_08370C_A	TEF1	C2_08370C_B
orf19.1439	C4_03330W_A	IPK1	C4_03330W_B
orf19.144	C2_04640C_A	SNU114	C2_04640C_B
orf19.1444	C2_01390W_A	ENT2	C2_01390W_B
orf19.1445	C2_01400C_A	ESC4	C2_01400C_B
orf19.1446	C2_01410C_A	CLB2	C2_01410C_B
orf19.1448	C2_01430W_A	APT1	C2_01430W_B
orf19.1448.1	C2_01440C_A		C2_01440C_B
orf19.1449	C2_01450C_A		C2_01450C_B
orf19.145	C2_04650C_A	RPB4	C2_04650C_B
orf19.1451	C2_01470W_A	SRB9	C2_01470W_B
orf19.1453	C2_01480W_A	SPT5	C2_01480W_B
orf19.1457	C2_01490C_A		C2_01490C_B
orf19.1458	C2_01510C_A		C2_01510C_B
orf19.1459	C2_01520W_A	PPE1	C2_01520W_B
orf19.1460	C2_01530C_A		C2_01530C_B
orf19.1462	C2_01550W_A	SMP2	C2_01550W_B
orf19.1466	C2_01580W_A	REX2	C2_01580W_B
orf19.1467	C2_01590W_A	COX13	C2_01590W_B
orf19.1468	C2_01600C_A	CDC55	C2_01600C_B
orf19.147	C2_04660C_A	YAK1	C2_04660C_B
orf19.1470	C2_01610C_A	RPS26A	C2_01610C_B
orf19.1471	C2_01620W_A	COX4	C2_01620W_B
orf19.1474	C2_01640W_A	SLA1	C2_01640W_B
orf19.1476	C2_01650W_A		C2_01650W_B
orf19.1477	C2_01660C_A		C2_01660C_B
orf19.1478	C2_01670C_A	STT3	C2_01670C_B
orf19.1479	C2_01680C_A		C2_01680C_B
orf19.1480	C2_01690W_A		C2_01690W_B
orf19.1483	C2_01720C_A		C2_01720C_B
orf19.1484	C2_01730W_A		C2_01730W_B
orf19.1485	C2_01740C_A		C2_01740C_B
orf19.1490	C2_01780W_A	MSB2	C2_01780W_B
orf19.1491	C2_01820C_A		C2_01820C_B
orf19.1492	C2_01830W_A	PRP39	C2_01830W_B
orf19.1493	C2_01840C_A	RAD7	C2_01840C_B
orf19.1494	C2_01850W_A	RAD23	C2_01850W_B
orf19.1495	C2_01860C_A		C2_01860C_B
orf19.150	C2_04680W_A	TIM17	C2_04680W_B
orf19.1505	C2_01930C_A		C2_01930C_B
orf19.1507	C2_01950C_A	AMN1	C2_01950C_B
orf19.151	C2_04690C_A	TPO5	C2_04690C_B
orf19.1510	C2_01980C_A	SRD1	C2_01980C_B
orf19.1513	C2_01990C_A	FAB1	C2_01990C_B
orf19.1514	C2_02000W_A		C2_02000W_B
orf19.1515	C2_02010C_A	CHT4	C2_02010C_B
orf19.1516	C2_02020W_A		C2_02020W_B
orf19.1517	C2_02030W_A	ARO3	C2_02030W_B
orf19.1524	C2_02070W_A	SPR3	C2_02070W_B
orf19.1525	C2_02090W_A		C2_02090W_B
orf19.1526	C2_02100W_A	SNF2	C2_02100W_B
orf19.1528	C2_02120W_A		C2_02120W_B
orf19.1531	C2_02150C_A		C2_02150C_B
orf19.1532	C2_02160W_A	SAM37	C2_02160W_B
orf19.1533	C2_02170W_A		C2_02170W_B
orf19.1534	C2_02180W_A	ZRT3	C2_02180W_B
orf19.1536	C2_02200W_A	ZRC1	C2_02200W_B
orf19.1538	C2_02210C_A	TLG2	C2_02210C_B
orf19.154	C2_04700C_A		C2_04700C_B
orf19.1542	C2_02240C_A	HEX3	C2_02240C_B
orf19.1543	C2_02250C_A	OPI1	C2_02250C_B
orf19.1544	C2_02260W_A		C2_02260W_B
orf19.1545	C2_02270C_A		C2_02270C_B
orf19.1546	C2_02280W_A		C2_02280W_B
orf19.1547	C2_02290C_A		C2_02290C_B
orf19.1548	C2_02300W_A		C2_02300W_B
orf19.155	C2_04710C_A	URE2	C2_04710C_B
orf19.1552	C2_02320C_A	CPR3	C2_02320C_B
orf19.1553	C2_02340C_A	ENT3	C2_02340C_B
orf19.1555	C2_02350C_A	SAC3	C2_02350C_B
orf19.1557	C2_02360C_A		C2_02360C_B
orf19.1559	C2_02370C_A	HOM2	C2_02370C_B
orf19.1560	C2_02380W_A	POB3	C2_02380W_B
orf19.1563	C2_02400W_A	ECM3	C2_02400W_B
orf19.1564	C2_02410W_A		C2_02410W_B
orf19.1565	C2_02420C_A		C2_02420C_B
orf19.1566	C2_02430W_A	UTP21	C2_02430W_B
orf19.1567	C2_02440W_A	VAM6	C2_02440W_B
orf19.1569	C2_02450C_A	UTP22	C2_02450C_B
orf19.1570	C2_02460W_A	ERG7	C2_02460W_B
orf19.1573	C2_02490C_A		C2_02490C_B
orf19.1574	C2_02500W_A	TAF7	C2_02500W_B
orf19.1575	C2_02510W_A	PRS1	C2_02510W_B
orf19.1576	C2_02520W_A		C2_02520W_B
orf19.1577	C2_02530W_A		C2_02530W_B
orf19.1578	C2_02540W_A		C2_02540W_B
orf19.158	C3_01150C_A		C3_01150C_B
orf19.1585	C2_02590W_A	ZRT2	C2_02590W_B
orf19.1588	C2_02620W_A	SDH8	C2_02620W_B
orf19.1589	C2_02630W_A		C2_02630W_B
orf19.1591	C2_04310W_A	ERG10	C2_04310W_B
orf19.1592	C2_04300C_A		C2_04300C_B
orf19.1595	C4_03920W_A		C4_03920W_B
orf19.1597	C2_09390W_A	ABG1	C2_09390W_B
orf19.1598	C2_09400C_A	ERG24	C2_09400C_B
orf19.1601	C2_09430W_A	RPL3	C2_09430W_B
orf19.1605	C2_09470C_A	PMS1	C2_09470C_B
orf19.1607	C3_02370C_A	ALR1	C3_02370C_B
orf19.1609	C3_02350W_A		C3_02350W_B
orf19.1613	C3_02320W_A	ILV2	C3_02320W_B
orf19.1614	C3_02310W_A	MEP1	C3_02310W_B
orf19.1617	C3_02290W_A		C3_02290W_B
orf19.1618	C3_02280C_A	GFA1	C3_02280C_B
orf19.1619	C3_02260C_A		C3_02260C_B
orf19.1621	C3_02240C_A	GPA2	C3_02240C_B
orf19.1622	C3_02230C_A	YCG1	C3_02230C_B
orf19.1623	C3_02220W_A	CAP1	C3_02220W_B
orf19.1624	C3_02210C_A		C3_02210C_B
orf19.1626	C3_02180C_A		C3_02180C_B
orf19.1628	C3_02170C_A	LAP41	C3_02170C_B
orf19.163	CR_02580W_A	PAN6	CR_02580W_B
orf19.1630	C3_02160C_A	PSP2	C3_02160C_B
orf19.1631	C3_02150C_A	ERG6	C3_02150C_B
orf19.1633	C3_02130W_A	UTP4	C3_02130W_B
orf19.1635	C3_02110W_A	RPL12	C3_02110W_B
orf19.1636	C3_02100W_A	STE50	C3_02100W_B
orf19.164	CR_02570C_A		CR_02570C_B
orf19.1642	C3_02040C_A		C3_02040C_B
orf19.1643	C3_02030W_A		C3_02030W_B
orf19.1646	C3_02020W_A		C3_02020W_B
orf19.1647	C3_02010C_A		C3_02010C_B
orf19.1648	C3_02000W_A	RAD50	C3_02000W_B
orf19.1649	C3_01990W_A	RNA1	C3_01990W_B
orf19.1650	C3_01980C_A	TOM6	C3_01980C_B
orf19.1652	C3_01960C_A	POX1-3	C3_01960C_B
orf19.1655.3	C3_01910C_A	PMP3	C3_01910C_B
orf19.1658	C3_01890C_A	PAL1	C3_01890C_B
orf19.1659	C3_01880W_A	ALG8	C3_01880W_B
orf19.166	CR_02560C_A	ASG1	CR_02560C_B
orf19.1661	C3_01860C_A	DBP5	C3_01860C_B
orf19.1662	C3_01850W_A		C3_01850W_B
orf19.1663	C3_01830C_A	MNT2	C3_01830C_B
orf19.1665	C3_01810C_A	MNT1	C3_01810C_B
orf19.1666	C3_01800C_A		C3_01800C_B
orf19.1667.1	C3_01780C_A		C3_01780C_B
orf19.1668	C3_01770C_A	SCM3	C3_01770C_B
orf19.1669	C3_01760W_A	AFG3	C3_01760W_B
orf19.1670	C3_01750C_A	BRO1	C3_01750C_B
orf19.1671	C3_01730C_A	UTR2	C3_01730C_B
orf19.1672	C3_01720C_A		C3_01720C_B
orf19.1673	C3_01710C_A	PPT1	C3_01710C_B
orf19.1674	C3_01700W_A	CDC53	C3_01700W_B
orf19.1675	C3_01690W_A		C3_01690W_B
orf19.1676	C3_01680C_A		C3_01680C_B
orf19.168	CR_02550C_A		CR_02550C_B
orf19.1680	C3_01630W_A	TFP1	C3_01630W_B
orf19.1683	C3_01600W_A	PPH21	C3_01600W_B
orf19.1686	C3_01570W_A		C3_01570W_B
orf19.1687	C3_01560W_A		C3_01560W_B
orf19.169	CR_02540W_A	CHO2	CR_02540W_B
orf19.1690	C3_01550C_A	TOS1	C3_01550C_B
orf19.1693	C3_01530C_A	CAS4	C3_01530C_B
orf19.1697	C3_01520C_A		C3_01520C_B
orf19.1698	C3_01510W_A		C3_01510W_B
orf19.1699	C3_01500C_A	BZZ1	C3_01500C_B
orf19.17	C2_06370C_A	SCP1	C2_06370C_B
orf19.1700	C3_01490W_A	RPS7A	C3_01490W_B
orf19.1701	C3_01480C_A	RKI1	C3_01480C_B
orf19.1706	C3_01450C_A	MET18	C3_01450C_B
orf19.1708	C3_01430W_A		C3_01430W_B
orf19.171	CR_02530W_A	DBP2	CR_02530W_B
orf19.1711	C3_01400W_A	END3	C3_01400W_B
orf19.1712	C3_01390C_A	GEA2	C3_01390C_B
orf19.1716	C3_01350C_A	URA3	C3_01350C_B
orf19.1719	C3_01320C_A	SGA1	C3_01320C_B
orf19.172	CR_02520W_A	RPC19	CR_02520W_B
orf19.1720	C3_01310W_A		C3_01310W_B
orf19.1721	C3_01300C_A	NCE103	C3_01300C_B
orf19.1723	C3_01280W_A		C3_01280W_B
orf19.1727	C3_01250W_A	PMC1	C3_01250W_B
orf19.173	CR_02510W_A		CR_02510W_B
orf19.1730	C3_01210C_A		C3_01210C_B
orf19.1734	CR_04720C_A	INO80	CR_04720C_B
orf19.1735	CR_04710W_A		CR_04710W_B
orf19.1738	CR_04660C_A	UGP1	CR_04660C_B
orf19.1738.1	CR_04650W_A		CR_04650W_B
orf19.1741	CR_04640W_A	DIT1	CR_04640W_B
orf19.1742	C2_10360C_A	HEM3	C2_10360C_B
orf19.1743	C2_10350C_A	ACS1	C2_10350C_B
orf19.1744	C2_10340W_A	HEM4	C2_10340W_B
orf19.1746	C2_10320C_A		C2_10320C_B
orf19.1747	C2_10310C_A	KIP2	C2_10310C_B
orf19.1751	C2_10280C_A	SPT23	C2_10280C_B
orf19.1753	C2_10270W_A	PUS7	C2_10270W_B
orf19.1754	C2_10260C_A	CMK2	C2_10260C_B
orf19.1755	C2_10250C_A	SET2	C2_10250C_B
orf19.1756	C2_10240W_A	GPD1	C2_10240W_B
orf19.1757	C2_10230W_A	MET32	C2_10230W_B
orf19.1759	C2_10220C_A	PHO23	C2_10220C_B
orf19.1760	C2_10210C_A	RAS1	C2_10210C_B
orf19.1761	C2_10200W_A		C2_10200W_B
orf19.1762	C2_10190C_A	OCA1	C2_10190C_B
orf19.1767	C2_10140W_A	UBP8	C2_10140W_B
orf19.1769	C2_10120W_A		C2_10120W_B
orf19.1770	C2_10110W_A	CYC1	C2_10110W_B
orf19.1771	C2_10100W_A	CWC22	C2_10100W_B
orf19.1772	C2_10090C_A	PPR7	C2_10090C_B
orf19.1773	C2_10080W_A	RAP1	C2_10080W_B
orf19.1776	C2_10060C_A		C2_10060C_B
orf19.1777	C2_10050W_A		C2_10050W_B
orf19.1779	C2_10030C_A	MP65	C2_10030C_B
orf19.1782	C2_10010C_A		C2_10010C_B
orf19.1783	C2_09990C_A	YOR1	C2_09990C_B
orf19.1789	C4_05310W_A		C4_05310W_B
orf19.1789.1	C4_05320W_A	LYS1	C4_05320W_B
orf19.1791	C4_05330C_A		C4_05330C_B
orf19.1792	C4_05340W_A		C4_05340W_B
orf19.1793	C4_05350W_A		C4_05350W_B
orf19.1794	C4_05360C_A		C4_05360C_B
orf19.1795	C4_05370W_A	PUF3	C4_05370W_B
orf19.1795.1	C4_05380C_A		C4_05380C_B
orf19.1796	C4_05390W_A		C4_05390W_B
orf19.18	C2_06390C_A	IMH3	C2_06390C_B
orf19.1800	C4_05440C_A		C4_05440C_B
orf19.1801	C4_05450C_A	CBR1	C4_05450C_B
orf19.1802	C4_05460C_A	OFD1	C4_05460C_B
orf19.1803	CR_04910W_A	CDC43	CR_04910W_B
orf19.1804	CR_04920W_A		CR_04920W_B
orf19.1805	CR_04930W_A	PEX14	CR_04930W_B
orf19.1808	CR_04950W_A	MED5	CR_04950W_B
orf19.1813	CR_07100W_A	FLC2	CR_07100W_B
orf19.1814	CR_07090W_A	STT4	CR_07090W_B
orf19.1815	CR_07080W_A		CR_07080W_B
orf19.182	C2_04820W_A		C2_04820W_B
orf19.1826	C1_06230C_A	MDM34	C1_06230C_B
orf19.1828	C1_06210W_A	BUD16	C1_06210W_B
orf19.183	C2_04810W_A	HIS3	C2_04810W_B
orf19.1832	C1_10610W_A	FCY23	C1_10610W_B
orf19.1833	C1_10620W_A		C1_10620W_B
orf19.1835	C1_10640C_A	PEA2	C1_10640C_B
orf19.1836	C1_10650W_A	APN2	C1_10650W_B
orf19.1837	C1_10660W_A	TBP1	C1_10660W_B
orf19.1839	C1_10670C_A	RPA190	C1_10670C_B
orf19.184	C2_04800C_A	MDM10	C2_04800C_B
orf19.1840	C1_10680C_A	TCB1	C1_10680C_B
orf19.1842	CR_06910W_A	BUD5	CR_06910W_B
orf19.1843	CR_06900C_A	ALG6	CR_06900C_B
orf19.1847	CR_06860C_A	ARO10	CR_06860C_B
orf19.1848.1	CR_06850C_A		CR_06850C_B
orf19.1849	CR_06840W_A		CR_06840W_B
orf19.185	C2_04790C_A		C2_04790C_B
orf19.1850	CR_06830C_A	SIW14	CR_06830C_B
orf19.1852	CR_06820W_A		CR_06820W_B
orf19.1853	CR_06810W_A	HHT2	CR_06810W_B
orf19.1854	CR_06800C_A	HHF22	CR_06800C_B
orf19.1856	CR_06780W_A		CR_06780W_B
orf19.1860	CR_06760C_A	LSC2	CR_06760C_B
orf19.1862	C2_07630C_A		C2_07630C_B
orf19.1864	C2_07610C_A		C2_07610C_B
orf19.1865	C2_07600C_A	MSC7	C2_07600C_B
orf19.1866	C2_07590W_A	VMA10	C2_07590W_B
orf19.1871	C2_07560W_A	SWR1	C2_07560W_B
orf19.1874	C2_07530C_A		C2_07530C_B
orf19.1876	C2_07520C_A	NAM8	C2_07520C_B
orf19.1877	C2_07510W_A		C2_07510W_B
orf19.1878	C2_07500C_A	MED4	C2_07500C_B
orf19.1880	C2_07490W_A	HEM15	C2_07490W_B
orf19.1881	C2_07480W_A	LPT1	C2_07480W_B
orf19.1883	C2_07470W_A	YCS4	C2_07470W_B
orf19.1885	C2_07460W_A	TAF4	C2_07460W_B
orf19.1886	C2_07450C_A	RCL1	C2_07450C_B
orf19.1887	C2_07440C_A		C2_07440C_B
orf19.1888	C2_07430C_A		C2_07430C_B
orf19.1889	C2_07420W_A		C2_07420W_B
orf19.1890	C2_07410W_A		C2_07410W_B
orf19.1891	C2_07400C_A	APR1	C2_07400C_B
orf19.1896	C2_07380W_A	SSC1	C2_07380W_B
orf19.190	C2_04770W_A		C2_04770W_B
orf19.1900	C2_07360W_A		C2_07360W_B
orf19.1901	C2_07350W_A	MCM3	C2_07350W_B
orf19.1902	C2_07340W_A	NOC4	C2_07340W_B
orf19.1907	C2_00120C_A	EMC9	C2_00120C_B
orf19.191	C2_04760W_A	KIC1	C2_04760W_B
