reference_pmid	reference_sgdid	curation_tag	entity_type	entity_name	entity_sgdid	note	created_by	date_created
PMID:37076829	SGD:S000343164	Engineering	gene	ARO1	SGD:S000002534		NASH	2023-04-24
PMID:37076829	SGD:S000343164	Engineering	gene	ARO3	SGD:S000002442		NASH	2023-04-24
PMID:36129767	SGD:S000339875	Classical phenotype information	gene	COX12	SGD:S000004028		NASH	2022-09-28
PMID:36129767	SGD:S000339875	Classical phenotype information	gene	HSP104	SGD:S000003949		NASH	2022-09-28
PMID:36129767	SGD:S000339875	Alleles	gene	HSP104	SGD:S000003949	hsp104-C1124T and hsp104-A375V	NASH	2022-09-28
PMID:37531631	SGD:S000344792	GO information	gene	CLN3	SGD:S000000038		STACIA	2023-08-07
PMID:35711110	SGD:S000317353	Classical phenotype information	gene	SPO14	SGD:S000001739		JODILS	2022-06-27
PMID:35159565	SGD:S000313903	Classical phenotype information	gene	MSN4	SGD:S000001545	substitution of serine residue to alanine at position 533 in Msn4 confers to the cell a significant increment of fermentation rate at low temperature (12 °C) as well as in medium temperature (18 °C). A similar effect but to a lesser extent was proven to occur when serine at position 582 in Msn2 was substituted by an alanine.	RAHI13	2022-02-22
PMID:36603766	SGD:S000341517	GO information	gene	SEC14	SGD:S000004684		STACIA	2023-01-12
PMID:36623584	SGD:S000341670	GO information	gene	RAD5	SGD:S000004022		STACIA	2023-01-18
PMID:35951639	SGD:S000338708	Classical phenotype information	gene	HXT1	SGD:S000001136	Indeed, deleting both HXT1 and HXT3 causes partial resistance to 2DG	RAHI13	2022-08-15
PMID:36639027	SGD:S000341689	GO information	gene	SBH1	SGD:S000002128		STACIA	2023-01-18
PMID:35734584	SGD:S000317354	Non-phenotype HTP				RNA-Seq with GO upon heterologous expression of human BRCA2 	JODILS	2022-06-27
PMID:35080977	SGD:S000313450	Classical phenotype information	gene	TRS130	SGD:S000004831		JODILS	2022-01-31
PMID:35080977	SGD:S000313450	Classical phenotype information	gene	YPT32	SGD:S000003178		JODILS	2022-01-31
PMID:35080977	SGD:S000313450	Classical phenotype information	gene	TRS120	SGD:S000002815		JODILS	2022-01-31
PMID:35795254	SGD:S000325533	Classical phenotype information	gene	TLC1	SGD:S000006657		JODILS	2022-07-11
PMID:35951639	SGD:S000338708	Classical phenotype information	gene	HXT3	SGD:S000002753	Indeed, deleting both HXT1 and HXT3 causes partial resistance to 2DG	RAHI13	2022-08-15
PMID:36106996	SGD:S000339661	GO information	gene	DMO1	SGD:S000003881		STACIA	2022-09-19
PMID:35951639	SGD:S000338708	Regulation information	gene	ROD1	SGD:S000005544	- 2DG triggers both an immediate and transitory PP1-dependent inhibition of Snf1, and the dephosphorylation of Snf1 substrates such as Mig1 or Rod1.- Overall, our data suggest that either Hxk2 itself or 2DG phosphorylation is required for the 2DG-mediated activation of PP1.- Altogether, we propose that 2DG phosphorylation by Hxk2 triggers a PP1-dependent Snf1 dephosphorylation, Rod1 dephosphorylation and endocytosis.	RAHI13	2022-08-15
PMID:35595470	SGD:S000316529	Delay					RAHI13	2022-05-25
PMID:35951639	SGD:S000338708	Regulation information	gene	SNF1	SGD:S000002885	- 2DG triggers both an immediate and transitory PP1-dependent inhibition of Snf1, and the dephosphorylation of Snf1 substrates such as Mig1 or Rod1.- Overall, our data suggest that either Hxk2 itself or 2DG phosphorylation is required for the 2DG-mediated activation of PP1.- Altogether, we propose that 2DG phosphorylation by Hxk2 triggers a PP1-dependent Snf1 dephosphorylation, Rod1 dephosphorylation and endocytosis.	RAHI13	2022-08-15
PMID:35951639	SGD:S000338708	Regulation information	gene	HXK2	SGD:S000003222	- 2DG triggers both an immediate and transitory PP1-dependent inhibition of Snf1, and the dephosphorylation of Snf1 substrates such as Mig1 or Rod1.- Overall, our data suggest that either Hxk2 itself or 2DG phosphorylation is required for the 2DG-mediated activation of PP1.- Altogether, we propose that 2DG phosphorylation by Hxk2 triggers a PP1-dependent Snf1 dephosphorylation, Rod1 dephosphorylation and endocytosis.	RAHI13	2022-08-15
PMID:36106996	SGD:S000339661	GO information	gene	FMP52	SGD:S000000806		STACIA	2022-09-19
PMID:36106996	SGD:S000339661	GO information	gene	ISC1	SGD:S000000821		STACIA	2022-09-19
PMID:36639027	SGD:S000341689	Classical phenotype information	gene	SBH2	SGD:S000002127		STACIA	2023-01-18
PMID:36639027	SGD:S000341689	Classical phenotype information	gene	SBH1	SGD:S000002128		STACIA	2023-01-18
PMID:36660429	SGD:S000341741	GO information	gene	FES1	SGD:S000000305		STACIA	2023-01-24
PMID:36660429	SGD:S000341741	GO information	gene	BTN2	SGD:S000003374		STACIA	2023-01-24
PMID:36660429	SGD:S000341741	GO information	gene	HSP104	SGD:S000003949		STACIA	2023-01-24
PMID:36646426	SGD:S000341747	Engineering					STACIA	2023-01-24
PMID:36646426	SGD:S000341747	Classical phenotype information	gene	FUM1	SGD:S000006183		STACIA	2023-01-24
PMID:36704946	SGD:S000341805	GO information	gene	HSP42	SGD:S000002578		STACIA	2023-01-30
PMID:36704946	SGD:S000341805	GO information	gene	HSP104	SGD:S000003949		STACIA	2023-01-30
PMID:36106996	SGD:S000339661	GO information	gene	SDH9	SGD:S000003581		STACIA	2022-09-19
PMID:36106996	SGD:S000339661	GO information	gene	DMO2	SGD:S000002316		STACIA	2022-09-19
PMID:36106996	SGD:S000339661	Classical phenotype information	gene	SDH1	SGD:S000001631		STACIA	2022-09-19
PMID:36106996	SGD:S000339661	Classical phenotype information	gene	SDH9	SGD:S000003581		STACIA	2022-09-19
PMID:36106996	SGD:S000339661	Classical phenotype information	gene	ISC1	SGD:S000000821		STACIA	2022-09-19
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	PNC1	SGD:S000003005	null shows reduced CLS extension 	NASH	2022-12-12
PMID:37235661	SGD:S000343777	GO information	gene	DDE1	SGD:S000001087		STACIA	2023-05-30
PMID:37336558	SGD:S000344160	HTP phenotype				competitive growth of deletion collection to look at differential strain sensitivity to treatment with Yb(III) or Lu(III). Dataset S1	NASH	2023-06-26
PMID:36982719	SGD:S000342856	Non-phenotype HTP				Transcriptomic (RNA-seq), proteomic and metabolomic data for six strains with and without ethanol stress to ID EtOH stress-responsive lncRNAs and genes. NCBI BioProject number PRJNA727478 and see Supplementary_Data_3.xlsx. Also used an in-house pipeline to identify lncRNAs (87–259 assembled lncRNAs (~161 per strain))	NASH	2023-04-03
PMID:36098787	SGD:S000339663	Engineering					STACIA	2022-09-19
PMID:36098787	SGD:S000339663	Classical phenotype information	gene	GLN3	SGD:S000000842		STACIA	2022-09-19
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	ERG6	SGD:S000004467	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:36160216	SGD:S000339887	Classical phenotype information	gene	NGG1	SGD:S000002583	* stress tolerance on ethanol, acetic acid, H2O2 and high temp. (fig. 2)* xylose fermentation ability and increased ethanol production (fig. 3) * txn factor enrichment (supp fig 3) and other factors (supp T5) * other diff expressed genes (fig. 4)* amino acid content changes (fig. 5)	NASH	2022-10-03
PMID:34878132	SGD:S000312403	HTP phenotype				HTP assessment of thermotolerance using transposon insertion mutagenesis and both S. cerevisiae and S. paradoxus. It looks like there's some S. cerevisiae-only data in the suppl files	JODILS	2021-12-13
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	MSN4	SGD:S000001545	null shows reduced CLS extension 	NASH	2022-12-12
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	TRP1	SGD:S000002414	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:35159565	SGD:S000313903	Classical phenotype information	gene	MSN2	SGD:S000004640	substitution of serine residue to alanine at position 533 in Msn4 confers to the cell a significant increment of fermentation rate at low temperature (12 °C) as well as in medium temperature (18 °C). A similar effect but to a lesser extent was proven to occur when serine at position 582 in Msn2 was substituted by an alanine.	RAHI13	2022-02-22
PMID:35937500	SGD:S000338710	Classical phenotype information	gene	RAS2	SGD:S000005042	- CR, LCA, tor1Δ and ras2Δ geroprotectors slow down the aging-associated process 3 of a fast deterioration in the quiescence of low-density Q cells.- we concluded that the ath1Δ-dependent changes in trehalose concentration through the entire CLS define the efficiency of yeast CLS extension by CR. We also deduced that the ath1Δ-driven rise in trehalose concentration through the entire CLS enhances the ability of LCA to prolong yeast CLS under non-CR conditions.	RAHI13	2022-08-15
PMID:37462076	SGD:S000344619	Classical phenotype information	gene	NCS2	SGD:S000005063		STACIA	2023-07-27
PMID:35937500	SGD:S000338710	Classical phenotype information	gene	TOR1	SGD:S000003827	- CR, LCA, tor1Δ and ras2Δ geroprotectors slow down the aging-associated process 3 of a fast deterioration in the quiescence of low-density Q cells.- we concluded that the ath1Δ-dependent changes in trehalose concentration through the entire CLS define the efficiency of yeast CLS extension by CR. We also deduced that the ath1Δ-driven rise in trehalose concentration through the entire CLS enhances the ability of LCA to prolong yeast CLS under non-CR conditions.	RAHI13	2022-08-15
PMID:35937500	SGD:S000338710	Classical phenotype information	gene	ATH1	SGD:S000006230	- CR, LCA, tor1Δ and ras2Δ geroprotectors slow down the aging-associated process 3 of a fast deterioration in the quiescence of low-density Q cells.- we concluded that the ath1Δ-dependent changes in trehalose concentration through the entire CLS define the efficiency of yeast CLS extension by CR. We also deduced that the ath1Δ-driven rise in trehalose concentration through the entire CLS enhances the ability of LCA to prolong yeast CLS under non-CR conditions.	RAHI13	2022-08-15
PMID:36160216	SGD:S000339887	Non-phenotype HTP				comparative transcriptome analysis using RNA-seq of NGG1 deletion vs wt	NASH	2022-10-03
PMID:37531631	SGD:S000344792	GO information	gene	WHI5	SGD:S000005609		STACIA	2023-08-07
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	ATX1	SGD:S000005203		JODILS	2022-06-27
PMID:36156142	SGD:S000339888	Alleles	gene	REP2	SGD:S000029676		NASH	2022-10-03
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	SCH9	SGD:S000001248	null shows reduced CLS extension 	NASH	2022-12-12
PMID:36868430	SGD:S000342465	Engineering	gene	ERG1	SGD:S000003407		STACIA	2023-03-07
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	GRX1	SGD:S000000540		JODILS	2022-06-27
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	FET3	SGD:S000004662		JODILS	2022-06-27
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	FTR1	SGD:S000000947		JODILS	2022-06-27
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	CTR1	SGD:S000006328		JODILS	2022-06-27
PMID:35714767	SGD:S000317358	Classical phenotype information	gene	CCC2	SGD:S000002678		JODILS	2022-06-27
PMID:35714767	SGD:S000317358	GO information	gene	CCC2	SGD:S000002678	potential roles in mitochondrial iron homeostasis and copper homeostasis	JODILS	2022-06-27
PMID:35714767	SGD:S000317358	GO information	gene	FET3	SGD:S000004662	potential roles in mitochondrial iron homeostasis and copper homeostasis	JODILS	2022-06-27
PMID:35714767	SGD:S000317358	GO information	gene	FTR1	SGD:S000000947	potential roles in mitochondrial iron homeostasis and copper homeostasis	JODILS	2022-06-27
PMID:35780834	SGD:S000325542	Post-translational modifications	gene	PAH1	SGD:S000004775	Rim11, a yeast homolog of mammalian glycogen synthase kinase-3β, is a protein kinase that phosphorylates Pah1 on serine (Ser-12, Ser-602, and Ser-818) and threonine (Thr-163, Thr-164, Thr-522) residues.	RAHI13	2022-07-11
PMID:36868430	SGD:S000342465	Engineering	gene	ACS2	SGD:S000004143		STACIA	2023-03-07
PMID:35780834	SGD:S000325542	Regulation information	gene	RIM11	SGD:S000004747	phosphorylation-mediated regulation of Pah1 function in lipid synthesis.: Rim11,  is a protein kinase that phosphorylates Pah1 on serine (Ser-12, Ser-602, and Ser-818) and threonine (Thr-163, Thr-164, Thr-522) residues. - Rim11 phosphorylation of Pah1 exerted an inhibitory effect on its PA phosphatase activity by reduction of its catalytic efficiency. 	RAHI13	2022-07-11
PMID:35780834	SGD:S000325542	Regulation information	gene	PAH1	SGD:S000004775	phosphorylation-mediated regulation of Pah1 function in lipid synthesis.: Rim11,  is a protein kinase that phosphorylates Pah1 on serine (Ser-12, Ser-602, and Ser-818) and threonine (Thr-163, Thr-164, Thr-522) residues. - Rim11 phosphorylation of Pah1 exerted an inhibitory effect on its PA phosphatase activity by reduction of its catalytic efficiency. 	RAHI13	2022-07-11
PMID:37350414	SGD:S000344172	Engineering	gene	ERG10	SGD:S000005949		NASH	2023-06-27
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	TOR1	SGD:S000003827	null shows reduced CLS extension 	NASH	2022-12-12
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	RAS2	SGD:S000005042	null shows reduced CLS extension 	NASH	2022-12-12
PMID:36462128	SGD:S000341172	Classical phenotype information	gene	GIS1	SGD:S000002503	null shows reduced CLS extension 	NASH	2022-12-12
PMID:36868430	SGD:S000342465	Engineering	gene	ADH2	SGD:S000004918		STACIA	2023-03-07
PMID:36805847	SGD:S000342291	Classical phenotype information	gene	ADH1	SGD:S000005446		NASH	2023-02-27
PMID:35948278	SGD:S000338712	Delay					RAHI13	2022-08-15
PMID:36868430	SGD:S000342465	Engineering	gene	ACS1	SGD:S000000050		STACIA	2023-03-07
PMID:36868430	SGD:S000342465	Engineering	gene	ERG20	SGD:S000003703		STACIA	2023-03-07
PMID:36868430	SGD:S000342465	Engineering	gene	ERG7	SGD:S000001114		STACIA	2023-03-07
PMID:36868430	SGD:S000342465	Engineering	gene	ALD6	SGD:S000005982		STACIA	2023-03-07
PMID:36868430	SGD:S000342465	Engineering	gene	MLS1	SGD:S000005061		STACIA	2023-03-07
PMID:37235661	SGD:S000343777	GO information	gene	ARO5	SGD:S000003085		STACIA	2023-05-30
PMID:36097293	SGD:S000339703	GO information	gene	AFG2	SGD:S000004389		STACIA	2022-09-20
PMID:36989278	SGD:S000342857	Non-phenotype HTP				created the Mitonuclear Recombinant Collection (MNRC), a multiparent advanced intercross population to ID mitonuclear interactions driven by allelic variation. Incorporates genetic variation from 25 wild isolates into ~200 fully sequenced recombinant strains. 	NASH	2023-04-03
PMID:36156058	SGD:S000339889	GO information	gene	BUD5	SGD:S000000634	bud neck 	NASH	2022-10-03
PMID:37119806	SGD:S000343469	Post-translational modifications	gene	YDJ1	SGD:S000005008	generated a YDJ1-CXXX library with 8,000 combinations to look at farnesylation sequence determinants	NASH	2023-05-08
PMID:37119806	SGD:S000343469	Post-translational modifications	gene	NAP1	SGD:S000001756	generated a YDJ1-CXXX library with 8,000 combinations to look at farnesylation sequence determinants	NASH	2023-05-08
PMID:37138775	SGD:S000343476	Non-phenotype HTP				RNA-seq of five strains (S288C, Japanese sake distillery (SK), as well as strains from Malaysia (ML), North America (NA), and West Africa (WA) untreated or treated with Hsp90p inhibitor geldanamycin (see SRA accession number SRP249604 (BioProject # PRJNA606397).	NASH	2023-05-09
PMID:37235661	SGD:S000343777	Classical phenotype information	gene	DDE1	SGD:S000001087		STACIA	2023-05-30
PMID:37235661	SGD:S000343777	Classical phenotype information	gene	ARO5	SGD:S000003085		STACIA	2023-05-30
PMID:37235661	SGD:S000343777	Non-phenotype HTP					STACIA	2023-05-30
PMID:37350414	SGD:S000344172	Engineering	gene	IDI1	SGD:S000006038		NASH	2023-06-27
PMID:36156058	SGD:S000339889	GO information	gene	BUD2	SGD:S000001575	bud neck 	NASH	2022-10-03
PMID:36156058	SGD:S000339889	Alleles	gene	SEC3	SGD:S000000810	bem1ΔCPX, exo70ΔdC  exo70M30 sec3ΔN	NASH	2022-10-03
PMID:37350414	SGD:S000344172	Engineering	allele	erg20-F96W,N127W	SGD:S000301133		NASH	2023-06-27
PMID:36156058	SGD:S000339889	Alleles	gene	EXO70	SGD:S000003621	bem1ΔCPX, exo70ΔdC  exo70M30 sec3ΔN	NASH	2022-10-03
PMID:36156058	SGD:S000339889	Alleles	gene	BEM1	SGD:S000000404	bem1ΔCPX, exo70ΔdC  exo70M30 sec3ΔN	NASH	2022-10-03
PMID:36156058	SGD:S000339889	Classical phenotype information	gene	MYO2	SGD:S000005853		NASH	2022-10-03
PMID:36156058	SGD:S000339889	Classical phenotype information	gene	RSR1	SGD:S000003384		NASH	2022-10-03
PMID:36156058	SGD:S000339889	Classical phenotype information	gene	EXO70	SGD:S000003621		NASH	2022-10-03
PMID:36156058	SGD:S000339889	Classical phenotype information	gene	BEM1	SGD:S000000404		NASH	2022-10-03
PMID:37350414	SGD:S000344172	Engineering	gene	ERG12	SGD:S000004821		NASH	2023-06-27
PMID:37350414	SGD:S000344172	Engineering	gene	MVD1	SGD:S000005326		NASH	2023-06-27
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	TGL3	SGD:S000004930	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:35543513	SGD:S000316221	Classical phenotype information	gene	ARG56	SGD:S000000871		JODILS	2022-05-16
PMID:35617695	SGD:S000316588	Classical phenotype information	gene	PRI2	SGD:S000001528	series of mutants with defects in electrochemical properties	JODILS	2022-05-31
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	LPP1	SGD:S000002911	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:37428107	SGD:S000344474	Classical phenotype information	gene	YDC1	SGD:S000006008	examined sensitivity to glabridin and wighteone; ERG2 ERG5 ERG6 are highly sensitive; FAA genes resistant, IPT1 and ALE1 are resistant; YDC1 ELO2 ELO3 hypersensitive (see fig 4 for summary); PAH1 DPP1 LPP1 TGL3 CHO2 OPI3 PCT1 CPT1 INO2 INO4 TRP1 PEP4 VTC4 hypersensitive; HAC1 and HSP104 are resistant	NASH	2023-07-17
PMID:37469281	SGD:S000344620	GO information	gene	CSE4	SGD:S000001532		STACIA	2023-07-28
PMID:37469281	SGD:S000344620	GO information	gene	CBF2	SGD:S000003372		STACIA	2023-07-28
PMID:37469281	SGD:S000344620	GO information	complex	CBF3 complex	SGD:S000217792		STACIA	2023-07-28
PMID:37469281	SGD:S000344620	GO information	gene	SCM3	SGD:S000002298		STACIA	2023-07-28
PMID:37469281	SGD:S000344620	Classical phenotype information	gene	OKP1	SGD:S000003411		STACIA	2023-07-28
PMID:37469281	SGD:S000344620	Classical phenotype information	gene	CHL4	SGD:S000002662		STACIA	2023-07-28
PMID:37527656	SGD:S000344793	Non-phenotype HTP					STACIA	2023-08-07
PMID:37527656	SGD:S000344793	GO information	gene	MSN2	SGD:S000004640		STACIA	2023-08-07
PMID:36340339	SGD:S000340700	Classical phenotype information	gene	RTT10	SGD:S000006104	study host factors associated with the Ppmar2 Mariner-like element (MLE) transposon (from moso bamboo), based on mobility changes in the yeast mutants. We have not used 'transposable element transposition' for heterologous elements but maybe?	NASH	2022-11-14
PMID:36339260	SGD:S000340747	GO information	complex	ERMES complex	SGD:S000217827	role in the ER stress response	NASH	2022-11-15
PMID:36867848	SGD:S000342466	Engineering	gene	OSH3	SGD:S000001115		STACIA	2023-03-07
PMID:36867848	SGD:S000342466	Engineering	gene	PDR5	SGD:S000005679		STACIA	2023-03-07
PMID:36417864	SGD:S000340943	GO information	gene	CMS1	SGD:S000003993		STACIA	2022-11-29
PMID:36417864	SGD:S000340943	Classical phenotype information	gene	NOP14	SGD:S000002307		STACIA	2022-11-29
PMID:36417864	SGD:S000340943	Classical phenotype information	gene	CMS1	SGD:S000003993		STACIA	2022-11-29
PMID:36867848	SGD:S000342466	Classical phenotype information	gene	OSH3	SGD:S000001115		STACIA	2023-03-07
PMID:36102592	SGD:S000339705	GO information	gene	RPB9	SGD:S000003038		STACIA	2022-09-20
PMID:36102592	SGD:S000339705	Regulation information	gene	RPB9	SGD:S000003038		STACIA	2022-09-20
PMID:37296145	SGD:S000344049	Non-phenotype HTP					STACIA	2023-06-16
PMID:36102592	SGD:S000339705	Regulation information	gene	ATG1	SGD:S000003148		STACIA	2022-09-20
PMID:36867848	SGD:S000342466	Classical phenotype information	gene	PDR5	SGD:S000005679		STACIA	2023-03-07
PMID:37341107	SGD:S000344174	Classical phenotype information	gene	UBP7	SGD:S000001418	differentially expressed proteins in table S1 (15 up- and 12 down-regulated); increased quantity of ubiquitin conjugates, especially those with K48; increased Cpr1p ubiq'n in the null (fig. 5a) and reduced when overexpressed (fig. S5a);  null increased CPR1 mRNA (fig. 5f); null increased degradation rate (fig. 6b); ubr1 null sensitive to CHX and CsA together (fig. 6d)	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	HTB2	SGD:S000000098	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	ACB1	SGD:S000003269	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:35793348	SGD:S000325547	Regulation information	gene	GCN4	SGD:S000000735	Overall, these findings support the idea that in WT cells containing RSC, SWI/SNF directly regulates Gcn4 binding at 5’ sites, reducing binding at many sites but enhancing Gcn4 binding at a small subset of sites.	RAHI13	2022-07-11
PMID:35938957	SGD:S000338714	Classical phenotype information	gene	LDB16	SGD:S000000511		JODILS	2022-08-15
PMID:35061542	SGD:S000313467	Post-translational modifications	gene	HHF2	SGD:S000004975	HHT1 HHT2 (acetylation associated with quiescence and exit from it) HHT1/2: Acetylation of certain sites (K9 and K27) was negligible during quiescence and strongly induced upon exit, while acetylation of others (K14, K18, and K23) was more stable across different states; HHF1/2: We also observed induction of H4K16ac during early and late exit (Fig. 4B), and the fold change of K16ac enrichment was similar to those of H3K14ac, K18ac, and K23ac	JODILS	2022-02-01
PMID:35061542	SGD:S000313467	Post-translational modifications	gene	HHT2	SGD:S000004976	HHT1 HHT2 (acetylation associated with quiescence and exit from it) HHT1/2: Acetylation of certain sites (K9 and K27) was negligible during quiescence and strongly induced upon exit, while acetylation of others (K14, K18, and K23) was more stable across different states; HHF1/2: We also observed induction of H4K16ac during early and late exit (Fig. 4B), and the fold change of K16ac enrichment was similar to those of H3K14ac, K18ac, and K23ac	JODILS	2022-02-01
PMID:35061542	SGD:S000313467	Post-translational modifications	gene	HHF1	SGD:S000000213	HHT1 HHT2 (acetylation associated with quiescence and exit from it) HHT1/2: Acetylation of certain sites (K9 and K27) was negligible during quiescence and strongly induced upon exit, while acetylation of others (K14, K18, and K23) was more stable across different states; HHF1/2: We also observed induction of H4K16ac during early and late exit (Fig. 4B), and the fold change of K16ac enrichment was similar to those of H3K14ac, K18ac, and K23ac	JODILS	2022-02-01
PMID:35061542	SGD:S000313467	Post-translational modifications	gene	HHT1	SGD:S000000214	HHT1 HHT2 (acetylation associated with quiescence and exit from it) HHT1/2: Acetylation of certain sites (K9 and K27) was negligible during quiescence and strongly induced upon exit, while acetylation of others (K14, K18, and K23) was more stable across different states; HHF1/2: We also observed induction of H4K16ac during early and late exit (Fig. 4B), and the fold change of K16ac enrichment was similar to those of H3K14ac, K18ac, and K23ac	JODILS	2022-02-01
PMID:35938957	SGD:S000338714	Classical phenotype information	gene	SEI1	SGD:S000004396		JODILS	2022-08-15
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	TDH3	SGD:S000003424	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	PGK1	SGD:S000000605	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	TRP1	SGD:S000002414	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	GPM1	SGD:S000001635	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	CPS1	SGD:S000003708	substrates of UBP7 ID'd	NASH	2023-06-27
PMID:37341107	SGD:S000344174	Post-translational modifications	gene	RPS13	SGD:S000002471	substrates of UBP7 ID'd	NASH	2023-06-27
