systematic_name	dbentity_id	so_id	contig_id	taxonomy_id	strand	genomic_start_index	genomic_end_index	genomic_file_header	genomic_download_filename	oneKB_start	oneKB_end	oneKB_file_header	oneKB_download_filename
ARS416	1284255	264014	1381811	274916	-	10328	10383	>ARS416 ARS1 Sigma1278b JRIQ01000126.1:10328..10383	ARS416_Sigma1278b_genomic.fsa	9328	11383	>ARS416 ARS1 Sigma1278b JRIQ01000126.1:9328..11383 +/- 1kb	ARS416_Sigma1278b_1kb.fsa
ARS416	1284255	264014	1383508	275338	-	10296	10351	>ARS416 ARS1 CEN.PK JRIV01000173.1:10296..10351	ARS416_CEN.PK_genomic.fsa	9296	11351	>ARS416 ARS1 CEN.PK JRIV01000173.1:9296..11351 +/- 1kb	ARS416_CEN.PK_1kb.fsa
ARS416	1284255	264014	1383664	275315	-	10296	10351	>ARS416 ARS1 D273-10B JRIY01000124.1:10296..10351	ARS416_D273-10B_genomic.fsa	9296	11351	>ARS416 ARS1 D273-10B JRIY01000124.1:9296..11351 +/- 1kb	ARS416_D273-10B_1kb.fsa
ARS416	1284255	264014	1384417	274944	+	78054	78109	>ARS416 ARS1 FL100 JRIT01000031.1:78054..78109	ARS416_FL100_genomic.fsa	77054	79109	>ARS416 ARS1 FL100 JRIT01000031.1:77054..79109 +/- 1kb	ARS416_FL100_1kb.fsa
ARS416	1284255	264014	1385043	275321	+	25098	25153	>ARS416 ARS1 JK9-3d JRIZ01000117.1:25098..25153	ARS416_JK9-3d_genomic.fsa	24098	26153	>ARS416 ARS1 JK9-3d JRIZ01000117.1:24098..26153 +/- 1kb	ARS416_JK9-3d_1kb.fsa
ARS416	1284255	264014	1386803	274425	+	77120	77175	>ARS416 ARS1 RM11-1A JRIP01000072.1:77120..77175	ARS416_RM11-1A_genomic.fsa	76120	78175	>ARS416 ARS1 RM11-1A JRIP01000072.1:76120..78175 +/- 1kb	ARS416_RM11-1A_1kb.fsa
ARS416	1284255	264014	1388681	274910	+	233409	233464	>ARS416 ARS1 W303 JRIU01000037.1:233409..233464	ARS416_W303_genomic.fsa	232409	234464	>ARS416 ARS1 W303 JRIU01000037.1:232409..234464 +/- 1kb	ARS416_W303_1kb.fsa
ARS416	1284255	264014	1388893	275329	+	235091	235146	>ARS416 ARS1 X2180-1A JRIX01000009.1:235091..235146	ARS416_X2180-1A_genomic.fsa	234091	236146	>ARS416 ARS1 X2180-1A JRIX01000009.1:234091..236146 +/- 1kb	ARS416_X2180-1A_1kb.fsa
ARS416	1284255	264014	1389228	275334	-	10330	10385	>ARS416 ARS1 Y55 JRIF01000169.1:10330..10385	ARS416_Y55_genomic.fsa	9330	11385	>ARS416 ARS1 Y55 JRIF01000169.1:9330..11385 +/- 1kb	ARS416_Y55_1kb.fsa
ARS1004	1270612	264014	1383503	275338	-	130440	130936	>ARS1004 ARS1004 CEN.PK JRIV01000167.1:130440..130936	ARS1004_CEN.PK_genomic.fsa	129440	131936	>ARS1004 ARS1004 CEN.PK JRIV01000167.1:129440..131936 +/- 1kb	ARS1004_CEN.PK_1kb.fsa
ARS1004	1270612	264014	1384420	274944	-	130571	131067	>ARS1004 ARS1004 FL100 JRIT01000035.1:130571..131067	ARS1004_FL100_genomic.fsa	129571	132067	>ARS1004 ARS1004 FL100 JRIT01000035.1:129571..132067 +/- 1kb	ARS1004_FL100_1kb.fsa
ARS1004	1270612	264014	1387065	275326	+	3046	3542	>ARS1004 ARS1004 SEY6210 JRIW01000201.1:3046..3542	ARS1004_SEY6210_genomic.fsa	2046	4542	>ARS1004 ARS1004 SEY6210 JRIW01000201.1:2046..4542 +/- 1kb	ARS1004_SEY6210_1kb.fsa
ARS1004	1270612	264014	1388744	274910	-	130366	130862	>ARS1004 ARS1004 W303 JRIU01000126.1:130366..130862	ARS1004_W303_genomic.fsa	129366	131862	>ARS1004 ARS1004 W303 JRIU01000126.1:129366..131862 +/- 1kb	ARS1004_W303_1kb.fsa
ARS1004	1270612	264014	1388920	275329	-	130398	130894	>ARS1004 ARS1004 X2180-1A JRIX01000043.1:130398..130894	ARS1004_X2180-1A_genomic.fsa	129398	131894	>ARS1004 ARS1004 X2180-1A JRIX01000043.1:129398..131894 +/- 1kb	ARS1004_X2180-1A_1kb.fsa
ARS1005	1270618	264014	1383661	275315	+	61020	61092	>ARS1005 ARS1005 D273-10B JRIY01000121.1:61020..61092	ARS1005_D273-10B_genomic.fsa	60020	62092	>ARS1005 ARS1005 D273-10B JRIY01000121.1:60020..62092 +/- 1kb	ARS1005_D273-10B_1kb.fsa
ARS1005	1270618	264014	1384420	274944	-	86993	87066	>ARS1005 ARS1005 FL100 JRIT01000035.1:86993..87066	ARS1005_FL100_genomic.fsa	85993	88066	>ARS1005 ARS1005 FL100 JRIT01000035.1:85993..88066 +/- 1kb	ARS1005_FL100_1kb.fsa
ARS1005	1270618	264014	1384990	275321	-	86655	86727	>ARS1005 ARS1005 JK9-3d JRIZ01000051.1:86655..86727	ARS1005_JK9-3d_genomic.fsa	85655	87727	>ARS1005 ARS1005 JK9-3d JRIZ01000051.1:85655..87727 +/- 1kb	ARS1005_JK9-3d_1kb.fsa
ARS1005	1270618	264014	1387065	275326	+	47047	47120	>ARS1005 ARS1005 SEY6210 JRIW01000201.1:47047..47120	ARS1005_SEY6210_genomic.fsa	46047	48120	>ARS1005 ARS1005 SEY6210 JRIW01000201.1:46047..48120 +/- 1kb	ARS1005_SEY6210_1kb.fsa
ARS1005	1270618	264014	1388744	274910	-	86788	86861	>ARS1005 ARS1005 W303 JRIU01000126.1:86788..86861	ARS1005_W303_genomic.fsa	85788	87861	>ARS1005 ARS1005 W303 JRIU01000126.1:85788..87861 +/- 1kb	ARS1005_W303_1kb.fsa
ARS1005	1270618	264014	1388920	275329	-	86759	86832	>ARS1005 ARS1005 X2180-1A JRIX01000043.1:86759..86832	ARS1005_X2180-1A_genomic.fsa	85759	87832	>ARS1005 ARS1005 X2180-1A JRIX01000043.1:85759..87832 +/- 1kb	ARS1005_X2180-1A_1kb.fsa
ARS1005	1270618	264014	1389107	275334	-	87273	87345	>ARS1005 ARS1005 Y55 JRIF01000013.1:87273..87345	ARS1005_Y55_genomic.fsa	86273	88345	>ARS1005 ARS1005 Y55 JRIF01000013.1:86273..88345 +/- 1kb	ARS1005_Y55_1kb.fsa
ARS1006	1270624	264014	1381741	274916	+	92491	92698	>ARS1006 ARS1006 Sigma1278b JRIQ01000033.1:92491..92698	ARS1006_Sigma1278b_genomic.fsa	91491	93698	>ARS1006 ARS1006 Sigma1278b JRIQ01000033.1:91491..93698 +/- 1kb	ARS1006_Sigma1278b_1kb.fsa
ARS1006	1270624	264014	1383503	275338	-	54926	55132	>ARS1006 ARS1006 CEN.PK JRIV01000167.1:54926..55132	ARS1006_CEN.PK_genomic.fsa	53926	56132	>ARS1006 ARS1006 CEN.PK JRIV01000167.1:53926..56132 +/- 1kb	ARS1006_CEN.PK_1kb.fsa
ARS1006	1270624	264014	1383661	275315	+	92682	92902	>ARS1006 ARS1006 D273-10B JRIY01000121.1:92682..92902	ARS1006_D273-10B_genomic.fsa	91682	93902	>ARS1006 ARS1006 D273-10B JRIY01000121.1:91682..93902 +/- 1kb	ARS1006_D273-10B_1kb.fsa
ARS1006	1270624	264014	1384420	274944	-	54969	55189	>ARS1006 ARS1006 FL100 JRIT01000035.1:54969..55189	ARS1006_FL100_genomic.fsa	53969	56189	>ARS1006 ARS1006 FL100 JRIT01000035.1:53969..56189 +/- 1kb	ARS1006_FL100_1kb.fsa
ARS1006	1270624	264014	1384990	275321	-	54888	55108	>ARS1006 ARS1006 JK9-3d JRIZ01000051.1:54888..55108	ARS1006_JK9-3d_genomic.fsa	53888	56108	>ARS1006 ARS1006 JK9-3d JRIZ01000051.1:53888..56108 +/- 1kb	ARS1006_JK9-3d_1kb.fsa
ARS1006	1270624	264014	1386839	274425	-	54640	54847	>ARS1006 ARS1006 RM11-1A JRIP01000117.1:54640..54847	ARS1006_RM11-1A_genomic.fsa	53640	55847	>ARS1006 ARS1006 RM11-1A JRIP01000117.1:53640..55847 +/- 1kb	ARS1006_RM11-1A_1kb.fsa
ARS1006	1270624	264014	1387065	275326	+	78842	79062	>ARS1006 ARS1006 SEY6210 JRIW01000201.1:78842..79062	ARS1006_SEY6210_genomic.fsa	77842	80062	>ARS1006 ARS1006 SEY6210 JRIW01000201.1:77842..80062 +/- 1kb	ARS1006_SEY6210_1kb.fsa
ARS1006	1270624	264014	1388744	274910	-	54847	55067	>ARS1006 ARS1006 W303 JRIU01000126.1:54847..55067	ARS1006_W303_genomic.fsa	53847	56067	>ARS1006 ARS1006 W303 JRIU01000126.1:53847..56067 +/- 1kb	ARS1006_W303_1kb.fsa
ARS1006	1270624	264014	1388920	275329	-	54973	55193	>ARS1006 ARS1006 X2180-1A JRIX01000043.1:54973..55193	ARS1006_X2180-1A_genomic.fsa	53973	56193	>ARS1006 ARS1006 X2180-1A JRIX01000043.1:53973..56193 +/- 1kb	ARS1006_X2180-1A_1kb.fsa
ARS1006	1270624	264014	1389107	275334	-	54938	55147	>ARS1006 ARS1006 Y55 JRIF01000013.1:54938..55147	ARS1006_Y55_genomic.fsa	53938	56147	>ARS1006 ARS1006 Y55 JRIF01000013.1:53938..56147 +/- 1kb	ARS1006_Y55_1kb.fsa
ARS1007	1270631	264014	1381741	274916	+	106701	106772	>ARS1007 ARS1007 Sigma1278b JRIQ01000033.1:106701..106772	ARS1007_Sigma1278b_genomic.fsa	105701	107772	>ARS1007 ARS1007 Sigma1278b JRIQ01000033.1:105701..107772 +/- 1kb	ARS1007_Sigma1278b_1kb.fsa
ARS1007	1270631	264014	1383503	275338	-	40848	40919	>ARS1007 ARS1007 CEN.PK JRIV01000167.1:40848..40919	ARS1007_CEN.PK_genomic.fsa	39848	41919	>ARS1007 ARS1007 CEN.PK JRIV01000167.1:39848..41919 +/- 1kb	ARS1007_CEN.PK_1kb.fsa
ARS1007	1270631	264014	1383661	275315	+	106902	106973	>ARS1007 ARS1007 D273-10B JRIY01000121.1:106902..106973	ARS1007_D273-10B_genomic.fsa	105902	107973	>ARS1007 ARS1007 D273-10B JRIY01000121.1:105902..107973 +/- 1kb	ARS1007_D273-10B_1kb.fsa
ARS1007	1270631	264014	1384420	274944	-	40898	40969	>ARS1007 ARS1007 FL100 JRIT01000035.1:40898..40969	ARS1007_FL100_genomic.fsa	39898	41969	>ARS1007 ARS1007 FL100 JRIT01000035.1:39898..41969 +/- 1kb	ARS1007_FL100_1kb.fsa
ARS1007	1270631	264014	1384990	275321	-	40817	40888	>ARS1007 ARS1007 JK9-3d JRIZ01000051.1:40817..40888	ARS1007_JK9-3d_genomic.fsa	39817	41888	>ARS1007 ARS1007 JK9-3d JRIZ01000051.1:39817..41888 +/- 1kb	ARS1007_JK9-3d_1kb.fsa
ARS1007	1270631	264014	1386839	274425	-	40570	40641	>ARS1007 ARS1007 RM11-1A JRIP01000117.1:40570..40641	ARS1007_RM11-1A_genomic.fsa	39570	41641	>ARS1007 ARS1007 RM11-1A JRIP01000117.1:39570..41641 +/- 1kb	ARS1007_RM11-1A_1kb.fsa
ARS1007	1270631	264014	1387065	275326	+	93062	93133	>ARS1007 ARS1007 SEY6210 JRIW01000201.1:93062..93133	ARS1007_SEY6210_genomic.fsa	92062	94133	>ARS1007 ARS1007 SEY6210 JRIW01000201.1:92062..94133 +/- 1kb	ARS1007_SEY6210_1kb.fsa
ARS1007	1270631	264014	1388744	274910	-	40776	40847	>ARS1007 ARS1007 W303 JRIU01000126.1:40776..40847	ARS1007_W303_genomic.fsa	39776	41847	>ARS1007 ARS1007 W303 JRIU01000126.1:39776..41847 +/- 1kb	ARS1007_W303_1kb.fsa
ARS1007	1270631	264014	1388920	275329	-	40902	40973	>ARS1007 ARS1007 X2180-1A JRIX01000043.1:40902..40973	ARS1007_X2180-1A_genomic.fsa	39902	41973	>ARS1007 ARS1007 X2180-1A JRIX01000043.1:39902..41973 +/- 1kb	ARS1007_X2180-1A_1kb.fsa
ARS1007	1270631	264014	1389107	275334	-	40870	40941	>ARS1007 ARS1007 Y55 JRIF01000013.1:40870..40941	ARS1007_Y55_genomic.fsa	39870	41941	>ARS1007 ARS1007 Y55 JRIF01000013.1:39870..41941 +/- 1kb	ARS1007_Y55_1kb.fsa
ARS1009	1270643	264014	1381826	274916	-	125751	126242	>ARS1009 ARS1009 Sigma1278b JRIQ01000143.1:125751..126242	ARS1009_Sigma1278b_genomic.fsa	124751	127242	>ARS1009 ARS1009 Sigma1278b JRIQ01000143.1:124751..127242 +/- 1kb	ARS1009_Sigma1278b_1kb.fsa
ARS1009	1270643	264014	1383485	275338	+	24813	25304	>ARS1009 ARS1009 CEN.PK JRIV01000144.1:24813..25304	ARS1009_CEN.PK_genomic.fsa	23813	26304	>ARS1009 ARS1009 CEN.PK JRIV01000144.1:23813..26304 +/- 1kb	ARS1009_CEN.PK_1kb.fsa
ARS1009	1270643	264014	1383714	275315	-	125945	126436	>ARS1009 ARS1009 D273-10B JRIY01000186.1:125945..126436	ARS1009_D273-10B_genomic.fsa	124945	127436	>ARS1009 ARS1009 D273-10B JRIY01000186.1:124945..127436 +/- 1kb	ARS1009_D273-10B_1kb.fsa
ARS1009	1270643	264014	1384470	274944	-	125572	126063	>ARS1009 ARS1009 FL100 JRIT01000101.1:125572..126063	ARS1009_FL100_genomic.fsa	124572	127063	>ARS1009 ARS1009 FL100 JRIT01000101.1:124572..127063 +/- 1kb	ARS1009_FL100_1kb.fsa
ARS1009	1270643	264014	1385030	275321	-	109565	110056	>ARS1009 ARS1009 JK9-3d JRIZ01000102.1:109565..110056	ARS1009_JK9-3d_genomic.fsa	108565	111056	>ARS1009 ARS1009 JK9-3d JRIZ01000102.1:108565..111056 +/- 1kb	ARS1009_JK9-3d_1kb.fsa
ARS1009	1270643	264014	1386807	274425	-	125341	125832	>ARS1009 ARS1009 RM11-1A JRIP01000078.1:125341..125832	ARS1009_RM11-1A_genomic.fsa	124341	126832	>ARS1009 ARS1009 RM11-1A JRIP01000078.1:124341..126832 +/- 1kb	ARS1009_RM11-1A_1kb.fsa
ARS1009	1270643	264014	1386971	275326	-	125508	125999	>ARS1009 ARS1009 SEY6210 JRIW01000076.1:125508..125999	ARS1009_SEY6210_genomic.fsa	124508	126999	>ARS1009 ARS1009 SEY6210 JRIW01000076.1:124508..126999 +/- 1kb	ARS1009_SEY6210_1kb.fsa
ARS1009	1270643	264014	1388660	274910	+	24226	24717	>ARS1009 ARS1009 W303 JRIU01000012.1:24226..24717	ARS1009_W303_genomic.fsa	23226	25717	>ARS1009 ARS1009 W303 JRIU01000012.1:23226..25717 +/- 1kb	ARS1009_W303_1kb.fsa
ARS1009	1270643	264014	1388973	275329	-	125451	125942	>ARS1009 ARS1009 X2180-1A JRIX01000108.1:125451..125942	ARS1009_X2180-1A_genomic.fsa	124451	126942	>ARS1009 ARS1009 X2180-1A JRIX01000108.1:124451..126942 +/- 1kb	ARS1009_X2180-1A_1kb.fsa
ARS1009	1270643	264014	1389265	275334	-	125896	126387	>ARS1009 ARS1009 Y55 JRIF01000224.1:125896..126387	ARS1009_Y55_genomic.fsa	124896	127387	>ARS1009 ARS1009 Y55 JRIF01000224.1:124896..127387 +/- 1kb	ARS1009_Y55_1kb.fsa
ARS109	1290275	264014	1381785	274916	+	19573	19792	>ARS109 ARS101 Sigma1278b JRIQ01000090.1:19573..19792	ARS109_Sigma1278b_genomic.fsa	18573	20792	>ARS109 ARS101 Sigma1278b JRIQ01000090.1:18573..20792 +/- 1kb	ARS109_Sigma1278b_1kb.fsa
ARS109	1290275	264014	1383381	275338	+	19575	19795	>ARS109 ARS101 CEN.PK JRIV01000006.1:19575..19795	ARS109_CEN.PK_genomic.fsa	18575	20795	>ARS109 ARS101 CEN.PK JRIV01000006.1:18575..20795 +/- 1kb	ARS109_CEN.PK_1kb.fsa
ARS109	1290275	264014	1383676	275315	+	19534	19754	>ARS109 ARS101 D273-10B JRIY01000139.1:19534..19754	ARS109_D273-10B_genomic.fsa	18534	20754	>ARS109 ARS101 D273-10B JRIY01000139.1:18534..20754 +/- 1kb	ARS109_D273-10B_1kb.fsa
ARS109	1290275	264014	1384414	274944	-	14895	15115	>ARS109 ARS101 FL100 JRIT01000028.1:14895..15115	ARS109_FL100_genomic.fsa	13895	16115	>ARS109 ARS101 FL100 JRIT01000028.1:13895..16115 +/- 1kb	ARS109_FL100_1kb.fsa
ARS109	1290275	264014	1385056	275321	-	148	368	>ARS109 ARS101 JK9-3d JRIZ01000133.1:148..368	ARS109_JK9-3d_genomic.fsa	1	1368	>ARS109 ARS101 JK9-3d JRIZ01000133.1:1..1368 +/- 1kb	ARS109_JK9-3d_1kb.fsa
ARS109	1290275	264014	1386814	274425	+	19537	19757	>ARS109 ARS101 RM11-1A JRIP01000086.1:19537..19757	ARS109_RM11-1A_genomic.fsa	18537	20757	>ARS109 ARS101 RM11-1A JRIP01000086.1:18537..20757 +/- 1kb	ARS109_RM11-1A_1kb.fsa
ARS109	1290275	264014	1387014	275326	-	362	582	>ARS109 ARS101 SEY6210 JRIW01000141.1:362..582	ARS109_SEY6210_genomic.fsa	1	1582	>ARS109 ARS101 SEY6210 JRIW01000141.1:1..1582 +/- 1kb	ARS109_SEY6210_1kb.fsa
ARS109	1290275	264014	1388776	274910	+	19595	19815	>ARS109 ARS101 W303 JRIU01000169.1:19595..19815	ARS109_W303_genomic.fsa	18595	19962	>ARS109 ARS101 W303 JRIU01000169.1:18595..19962 +/- 1kb	ARS109_W303_1kb.fsa
ARS109	1290275	264014	1388944	275329	+	19587	19807	>ARS109 ARS101 X2180-1A JRIX01000075.1:19587..19807	ARS109_X2180-1A_genomic.fsa	18587	19954	>ARS109 ARS101 X2180-1A JRIX01000075.1:18587..19954 +/- 1kb	ARS109_X2180-1A_1kb.fsa
ARS109	1290275	264014	1389230	275334	+	20122	20340	>ARS109 ARS101 Y55 JRIF01000173.1:20122..20340	ARS109_Y55_genomic.fsa	19122	20387	>ARS109 ARS101 Y55 JRIF01000173.1:19122..20387 +/- 1kb	ARS109_Y55_1kb.fsa
ARS1010	1270649	264014	1381826	274916	-	55406	55670	>ARS1010 ARS1010 Sigma1278b JRIQ01000143.1:55406..55670	ARS1010_Sigma1278b_genomic.fsa	54406	56670	>ARS1010 ARS1010 Sigma1278b JRIQ01000143.1:54406..56670 +/- 1kb	ARS1010_Sigma1278b_1kb.fsa
ARS1010	1270649	264014	1383485	275338	+	95243	95507	>ARS1010 ARS1010 CEN.PK JRIV01000144.1:95243..95507	ARS1010_CEN.PK_genomic.fsa	94243	96507	>ARS1010 ARS1010 CEN.PK JRIV01000144.1:94243..96507 +/- 1kb	ARS1010_CEN.PK_1kb.fsa
ARS1010	1270649	264014	1383714	275315	-	55743	56007	>ARS1010 ARS1010 D273-10B JRIY01000186.1:55743..56007	ARS1010_D273-10B_genomic.fsa	54743	57007	>ARS1010 ARS1010 D273-10B JRIY01000186.1:54743..57007 +/- 1kb	ARS1010_D273-10B_1kb.fsa
ARS1010	1270649	264014	1384470	274944	-	55369	55633	>ARS1010 ARS1010 FL100 JRIT01000101.1:55369..55633	ARS1010_FL100_genomic.fsa	54369	56633	>ARS1010 ARS1010 FL100 JRIT01000101.1:54369..56633 +/- 1kb	ARS1010_FL100_1kb.fsa
ARS1010	1270649	264014	1385030	275321	-	39381	39645	>ARS1010 ARS1010 JK9-3d JRIZ01000102.1:39381..39645	ARS1010_JK9-3d_genomic.fsa	38381	40645	>ARS1010 ARS1010 JK9-3d JRIZ01000102.1:38381..40645 +/- 1kb	ARS1010_JK9-3d_1kb.fsa
ARS1010	1270649	264014	1386807	274425	-	55069	55333	>ARS1010 ARS1010 RM11-1A JRIP01000078.1:55069..55333	ARS1010_RM11-1A_genomic.fsa	54069	56333	>ARS1010 ARS1010 RM11-1A JRIP01000078.1:54069..56333 +/- 1kb	ARS1010_RM11-1A_1kb.fsa
ARS1010	1270649	264014	1386971	275326	-	55319	55583	>ARS1010 ARS1010 SEY6210 JRIW01000076.1:55319..55583	ARS1010_SEY6210_genomic.fsa	54319	56583	>ARS1010 ARS1010 SEY6210 JRIW01000076.1:54319..56583 +/- 1kb	ARS1010_SEY6210_1kb.fsa
ARS1010	1270649	264014	1388660	274910	+	94656	94920	>ARS1010 ARS1010 W303 JRIU01000012.1:94656..94920	ARS1010_W303_genomic.fsa	93656	95920	>ARS1010 ARS1010 W303 JRIU01000012.1:93656..95920 +/- 1kb	ARS1010_W303_1kb.fsa
ARS1010	1270649	264014	1388973	275329	-	55249	55513	>ARS1010 ARS1010 X2180-1A JRIX01000108.1:55249..55513	ARS1010_X2180-1A_genomic.fsa	54249	56513	>ARS1010 ARS1010 X2180-1A JRIX01000108.1:54249..56513 +/- 1kb	ARS1010_X2180-1A_1kb.fsa
ARS1010	1270649	264014	1389265	275334	-	55657	55921	>ARS1010 ARS1010 Y55 JRIF01000224.1:55657..55921	ARS1010_Y55_genomic.fsa	54657	56921	>ARS1010 ARS1010 Y55 JRIF01000224.1:54657..56921 +/- 1kb	ARS1010_Y55_1kb.fsa
ARS1011	1270655	264014	1381826	274916	-	17184	17432	>ARS1011 ARS1011 Sigma1278b JRIQ01000143.1:17184..17432	ARS1011_Sigma1278b_genomic.fsa	16184	18432	>ARS1011 ARS1011 Sigma1278b JRIQ01000143.1:16184..18432 +/- 1kb	ARS1011_Sigma1278b_1kb.fsa
ARS1011	1270655	264014	1383485	275338	+	133543	133791	>ARS1011 ARS1011 CEN.PK JRIV01000144.1:133543..133791	ARS1011_CEN.PK_genomic.fsa	132543	134791	>ARS1011 ARS1011 CEN.PK JRIV01000144.1:132543..134791 +/- 1kb	ARS1011_CEN.PK_1kb.fsa
ARS1011	1270655	264014	1383714	275315	-	17450	17698	>ARS1011 ARS1011 D273-10B JRIY01000186.1:17450..17698	ARS1011_D273-10B_genomic.fsa	16450	18698	>ARS1011 ARS1011 D273-10B JRIY01000186.1:16450..18698 +/- 1kb	ARS1011_D273-10B_1kb.fsa
ARS1011	1270655	264014	1384470	274944	-	17085	17333	>ARS1011 ARS1011 FL100 JRIT01000101.1:17085..17333	ARS1011_FL100_genomic.fsa	16085	18333	>ARS1011 ARS1011 FL100 JRIT01000101.1:16085..18333 +/- 1kb	ARS1011_FL100_1kb.fsa
ARS1011	1270655	264014	1385030	275321	-	1097	1345	>ARS1011 ARS1011 JK9-3d JRIZ01000102.1:1097..1345	ARS1011_JK9-3d_genomic.fsa	97	2345	>ARS1011 ARS1011 JK9-3d JRIZ01000102.1:97..2345 +/- 1kb	ARS1011_JK9-3d_1kb.fsa
ARS1011	1270655	264014	1386807	274425	-	16793	17040	>ARS1011 ARS1011 RM11-1A JRIP01000078.1:16793..17040	ARS1011_RM11-1A_genomic.fsa	15793	18040	>ARS1011 ARS1011 RM11-1A JRIP01000078.1:15793..18040 +/- 1kb	ARS1011_RM11-1A_1kb.fsa
ARS1011	1270655	264014	1386971	275326	-	17035	17283	>ARS1011 ARS1011 SEY6210 JRIW01000076.1:17035..17283	ARS1011_SEY6210_genomic.fsa	16035	18283	>ARS1011 ARS1011 SEY6210 JRIW01000076.1:16035..18283 +/- 1kb	ARS1011_SEY6210_1kb.fsa
ARS1011	1270655	264014	1388660	274910	+	132956	133204	>ARS1011 ARS1011 W303 JRIU01000012.1:132956..133204	ARS1011_W303_genomic.fsa	131956	134204	>ARS1011 ARS1011 W303 JRIU01000012.1:131956..134204 +/- 1kb	ARS1011_W303_1kb.fsa
ARS1011	1270655	264014	1388973	275329	-	16965	17213	>ARS1011 ARS1011 X2180-1A JRIX01000108.1:16965..17213	ARS1011_X2180-1A_genomic.fsa	15965	18213	>ARS1011 ARS1011 X2180-1A JRIX01000108.1:15965..18213 +/- 1kb	ARS1011_X2180-1A_1kb.fsa
ARS1011	1270655	264014	1389265	275334	-	17396	17643	>ARS1011 ARS1011 Y55 JRIF01000224.1:17396..17643	ARS1011_Y55_genomic.fsa	16396	18643	>ARS1011 ARS1011 Y55 JRIF01000224.1:16396..18643 +/- 1kb	ARS1011_Y55_1kb.fsa
