gene_name or feature_name	feature_name or alias	contig	strain	feature.start	feature.end	
ARS1014	ARS1014	JRIT01000162.1	FL100	7987	7742	
ARS1014	ARS1014	JRIZ01000126.1	JK9-3d	7825	7580	
ARS1014	ARS1014	JRIP01000103.1	RM11-1A	1202	1447	
ARS1014	ARS1014	JRIW01000050.1	SEY6210	36732	36487	
ARS1014	ARS1014	JRIU01000075.1	W303	2193	2438	
ARS1014	ARS1014	JRIX01000205.1	X2180-1A	36871	36626	
ARS1014	ARS1014	JRIF01000208.1	Y55	36817	36573	
ARS1015	ARS1015	JRIQ01000127.1	Sigma1278b	11167	10758	
ARS1015	ARS1015	JRIV01000089.1	CEN.PK2-1Ca	17963	18372	
ARS1015	ARS1015	JRIY01000004.1	D273-10B	87646	88055	
ARS1015	ARS1015	JRIT01000173.1	FL100	11348	10939	
ARS1015	ARS1015	JRIZ01000041.1	JK9-3d	11379	10970	
ARS1015	ARS1015	JRIP01000188.1	RM11-1A	11172	10763	
ARS1015	ARS1015	JRIW01000050.1	SEY6210	11373	10964	
ARS1015	ARS1015	JRIU01000075.1	W303	27746	28155	
ARS1015	ARS1015	JRIX01000205.1	X2180-1A	11379	10970	
ARS1015	ARS1015	JRIF01000208.1	Y55	11484	11075	
ARS1016	ARS1016	JRIQ01000227.1	Sigma1278b	1	907	
ARS1016	ARS1016	JRIP01000051.1	RM11-1A	1	907	
ARS1016	ARS1016	JRIF01000064.1	Y55	72126	71220	
ARS1017	ARS1017	JRIQ01000227.1	Sigma1278b	4689	5247	
ARS1017	ARS1017	JRIV01000189.1	CEN.PK2-1Ca	3148	3706	
ARS1017	ARS1017	JRIY01000190.1	D273-10B	3252	3810	
ARS1017	ARS1017	JRIT01000123.1	FL100	3260	3818	
ARS1017	ARS1017	JRIZ01000094.1	JK9-3d	231862	231304	
ARS1017	ARS1017	JRIP01000051.1	RM11-1A	4665	5224	
ARS1017	ARS1017	JRIW01000023.1	SEY6210	13147	12589	
ARS1017	ARS1017	JRIU01000200.1	W303	5278	5836	
ARS1017	ARS1017	JRIX01000077.1	X2180-1A	13262	12704	
ARS1017	ARS1017	JRIF01000064.1	Y55	67462	66903	
ARS1018	ARS1018	JRIQ01000140.1	Sigma1278b	56239	56473	
ARS1018	ARS1018	JRIV01000078.1	CEN.PK2-1Ca	357	123	
ARS1018	ARS1018	JRIY01000190.1	D273-10B	73166	73400	
ARS1018	ARS1018	JRIT01000073.1	FL100	56289	56523	
ARS1018	ARS1018	JRIZ01000094.1	JK9-3d	162524	162290	
ARS1018	ARS1018	JRIP01000051.1	RM11-1A	73677	73911	
ARS1018	ARS1018	JRIW01000121.1	SEY6210	162145	161911	
ARS1018	ARS1018	JRIU01000318.1	W303	2149	2383	
ARS1018	ARS1018	JRIX01000004.1	X2180-1A	2149	2383	
ARS1018	ARS1018	JRIF01000140.1	Y55	276	43	
ARS1019	ARS1019	JRIQ01000069.1	Sigma1278b	90121	89689	
ARS1019	ARS1019	JRIV01000227.1	CEN.PK2-1Ca	35698	36128	
ARS1019	ARS1019	JRIY01000199.1	D273-10B	89921	89491	
ARS1019	ARS1019	JRIT01000069.1	FL100	89971	89539	
ARS1019	ARS1019	JRIZ01000094.1	JK9-3d	90226	89794	
ARS1019	ARS1019	JRIP01000051.1	RM11-1A	145463	145895	
ARS1019	ARS1019	JRIW01000121.1	SEY6210	89937	89505	
ARS1019	ARS1019	JRIU01000227.1	W303	71341	71773	
ARS1019	ARS1019	JRIX01000149.1	X2180-1A	69140	69572	
ARS1019	ARS1019	JRIF01000068.1	Y55	89894	89462	
ARS1020	ARS1020	JRIQ01000069.1	Sigma1278b	48400	48162	
ARS1020	ARS1020	JRIV01000227.1	CEN.PK2-1Ca	77231	77470	
ARS1020	ARS1020	JRIY01000199.1	D273-10B	48384	48146	
ARS1020	ARS1020	JRIT01000069.1	FL100	48387	48148	
ARS1020	ARS1020	JRIZ01000094.1	JK9-3d	48401	48163	
ARS1020	ARS1020	JRIP01000051.1	RM11-1A	187218	187454	
ARS1020	ARS1020	JRIW01000121.1	SEY6210	48387	48148	
ARS1020	ARS1020	JRIU01000227.1	W303	112933	113172	
ARS1020	ARS1020	JRIX01000149.1	X2180-1A	110680	110919	
ARS1020	ARS1020	JRIF01000068.1	Y55	48382	48148	
ARS1021	ARS1021	JRIQ01000069.1	Sigma1278b	18753	18664	
ARS1021	ARS1021	JRIV01000227.1	CEN.PK2-1Ca	106865	106954	
ARS1021	ARS1021	JRIY01000199.1	D273-10B	18736	18647	
ARS1021	ARS1021	JRIT01000069.1	FL100	18753	18664	
ARS1021	ARS1021	JRIZ01000094.1	JK9-3d	18753	18664	
ARS1021	ARS1021	JRIP01000051.1	RM11-1A	216857	216946	
ARS1021	ARS1021	JRIW01000121.1	SEY6210	18753	18664	
ARS1021	ARS1021	JRIU01000227.1	W303	142563	142652	
ARS1021	ARS1021	JRIX01000149.1	X2180-1A	140314	140403	
ARS1021	ARS1021	JRIF01000068.1	Y55	18755	18666	
ARS1022	ARS1022	JRIQ01000084.1	Sigma1278b	9867	10113	
ARS1022	ARS1022	JRIV01000081.1	CEN.PK2-1Ca	16676	16430	
ARS1022	ARS1022	JRIY01000166.1	D273-10B	2166	2412	
ARS1022	ARS1022	JRIT01000192.1	FL100	9866	10112	
ARS1022	ARS1022	JRIZ01000004.1	JK9-3d	15756	15510	
ARS1022	ARS1022	JRIP01000009.1	RM11-1A	15773	15527	
ARS1022	ARS1022	JRIW01000007.1	SEY6210	16357	16111	
ARS1022	ARS1022	JRIU01000084.1	W303	15835	15589	
ARS1022	ARS1022	JRIX01000071.1	X2180-1A	16728	16482	
ARS1022	ARS1022	JRIF01000039.1	Y55	10676	10430	
ARS1023	ARS1023	JRIV01000245.1	CEN.PK2-1Ca	2935	2405	
ARS1023	ARS1023	JRIY01000151.1	D273-10B	9671	9617	
ARS1023	ARS1023	JRIY01000156.1	D273-10B	5	534	
ARS1023	ARS1023	JRIT01000260.1	FL100	182	712	
ARS1023	ARS1023	JRIZ01000268.1	JK9-3d	2935	2405	
ARS1023	ARS1023	JRIP01000090.1	RM11-1A	5	59	
ARS1023	ARS1023	JRIW01000244.1	SEY6210	2935	2405	
ARS1023	ARS1023	JRIF01000074.1	Y55	1251	1368	
ARS1024	ARS1024	JRIV01000269.1	CEN.PK2-1Ca	3842	4083	
ARS1024	ARS1024	JRIT01000263.1	FL100	5070	4829	
ARS1024	ARS1024	JRIZ01000361.1	JK9-3d	3842	4083	
ARS1024	ARS1024	JRIW01000245.1	SEY6210	3025	3266	
ARS1024	ARS1024	JRIU01000272.1	W303	1117	1358	
ARS1024	ARS1024	JRIX01000329.1	X2180-1A	5888	5647	
ARS103	ARS103	JRIQ01000001.1	Sigma1278b	4003	3453	
ARS103	ARS103	JRIY01000309.1	D273-10B	5304	5854	
ARS103	ARS103	JRIT01000277.1	FL100	5301	5851	
ARS103	ARS103	JRIZ01000310.1	JK9-3d	1162	1712	
ARS103	ARS103	JRIW01000015.1	SEY6210	4405	3855	
ARS103	ARS103	JRIU01000001.1	W303	3729	3179	
ARS103	ARS103	JRIX01000226.1	X2180-1A	3729	3179	
ARS103	ARS103	JRIF01000044.1	Y55	5695	6245	
ARS104	ARS104	JRIQ01000133.1	Sigma1278b	108763	108578	
ARS104	ARS104	JRIY01000160.1	D273-10B	3164	3401	
ARS104	ARS104	JRIT01000087.1	FL100	110726	110489	
ARS104	ARS104	JRIZ01000052.1	JK9-3d	109340	109103	
ARS104	ARS104	JRIP01000115.1	RM11-1A	109266	109081	
ARS104	ARS104	JRIW01000016.1	SEY6210	3789	4026	
ARS104	ARS104	JRIU01000032.1	W303	108811	108574	
ARS104	ARS104	JRIX01000217.1	X2180-1A	108828	108591	
ARS104	ARS104	JRIF01000050.1	Y55	3522	3755	
ARS105	ARS105	JRIQ01000133.1	Sigma1278b	97724	97565	
ARS105	ARS105	JRIV01000001.1	CEN.PK2-1Ca	10418	10577	
ARS105	ARS105	JRIY01000160.1	D273-10B	14210	14369	
ARS105	ARS105	JRIT01000087.1	FL100	99680	99521	
ARS105	ARS105	JRIZ01000052.1	JK9-3d	98294	98135	
ARS105	ARS105	JRIP01000115.1	RM11-1A	98221	98062	
ARS105	ARS105	JRIW01000016.1	SEY6210	14835	14994	
ARS105	ARS105	JRIU01000032.1	W303	97765	97606	
ARS105	ARS105	JRIX01000217.1	X2180-1A	97782	97623	
ARS105	ARS105	JRIF01000050.1	Y55	14649	14808	
ARS106	ARS106	JRIQ01000133.1	Sigma1278b	69450	69281	
ARS106	ARS106	JRIV01000001.1	CEN.PK2-1Ca	38711	38880	
ARS106	ARS106	JRIY01000160.1	D273-10B	42509	42678	
ARS106	ARS106	JRIT01000087.1	FL100	71372	71203	
ARS106	ARS106	JRIZ01000052.1	JK9-3d	69987	69818	
ARS106	ARS106	JRIP01000115.1	RM11-1A	69918	69749	
ARS106	ARS106	JRIW01000016.1	SEY6210	43143	43312	
ARS106	ARS106	JRIU01000032.1	W303	69457	69288	
ARS106	ARS106	JRIX01000217.1	X2180-1A	69474	69305	
ARS106	ARS106	JRIF01000050.1	Y55	42933	43103	
ARS107	ARS107	JRIQ01000133.1	Sigma1278b	15452	15204	
ARS107	ARS107	JRIV01000001.1	CEN.PK2-1Ca	92744	92992	
ARS107	ARS107	JRIY01000160.1	D273-10B	96533	96781	
ARS107	ARS107	JRIT01000087.1	FL100	17323	17075	
ARS107	ARS107	JRIZ01000052.1	JK9-3d	16005	15757	
ARS107	ARS107	JRIP01000115.1	RM11-1A	15897	15649	
ARS107	ARS107	JRIW01000016.1	SEY6210	97134	97382	
ARS107	ARS107	JRIU01000032.1	W303	15458	15210	
ARS107	ARS107	JRIX01000217.1	X2180-1A	15458	15210	
ARS107	ARS107	JRIF01000050.1	Y55	96938	97185	
ARS108	ARS108	JRIQ01000090.1	Sigma1278b	7090	7408	
ARS108	ARS108	JRIV01000006.1	CEN.PK2-1Ca	7087	7406	
ARS108	ARS108	JRIY01000139.1	D273-10B	7052	7371	
ARS108	ARS108	JRIT01000028.1	FL100	27624	27305	
ARS108	ARS108	JRIZ01000133.1	JK9-3d	12877	12558	
ARS108	ARS108	JRIP01000086.1	RM11-1A	7054	7373	
ARS108	ARS108	JRIW01000141.1	SEY6210	13061	12742	
ARS108	ARS108	JRIU01000169.1	W303	7087	7406	
ARS108	ARS108	JRIX01000075.1	X2180-1A	7087	7406	
ARS108	ARS108	JRIF01000173.1	Y55	7630	7949	
ARS110	ARS110	JRIQ01000090.1	Sigma1278b	29893	30140	
ARS110	ARS110	JRIV01000006.1	CEN.PK2-1Ca	29895	30142	
ARS110	ARS110	JRIY01000139.1	D273-10B	29857	30104	
ARS110	ARS110	JRIT01000028.1	FL100	4795	4548	
ARS110	ARS110	JRIZ01000182.1	JK9-3d	10165	10412	
ARS110	ARS110	JRIP01000086.1	RM11-1A	29856	30103	
ARS110	ARS110	JRIW01000160.1	SEY6210	7136	6889	
ARS110	ARS110	JRIU01000109.1	W303	581	334	
ARS110	ARS110	JRIX01000210.1	X2180-1A	10145	10392	
ARS110	ARS110	JRIF01000158.1	Y55	10293	10540	
ARS1102	ARS1102	JRIQ01000039.1	Sigma1278b	4731	5512	
ARS1102	ARS1102	JRIV01000157.1	CEN.PK2-1Ca	8476	7695	
ARS1102	ARS1102	JRIY01000219.1	D273-10B	4731	5512	
ARS1102	ARS1102	JRIT01000049.1	FL100	4749	5530	
ARS1102	ARS1102	JRIZ01000135.1	JK9-3d	195012	194234	
ARS1102	ARS1102	JRIP01000011.1	RM11-1A	4829	5608	
ARS1102	ARS1102	JRIW01000128.1	SEY6210	4731	5512	
ARS1102	ARS1102	JRIU01000027.1	W303	4749	5530	
ARS1102	ARS1102	JRIX01000128.1	X2180-1A	4731	5512	
ARS1102	ARS1102	JRIF01000081.1	Y55	5077	5858	
ARS1103	ARS1103	JRIQ01000039.1	Sigma1278b	52834	53080	
ARS1103	ARS1103	JRIV01000164.1	CEN.PK2-1Ca	19072	19318	
ARS1103	ARS1103	JRIY01000123.1	D273-10B	19084	19330	
ARS1103	ARS1103	JRIT01000049.1	FL100	52856	53102	
ARS1103	ARS1103	JRIZ01000135.1	JK9-3d	146904	146658	
ARS1103	ARS1103	JRIP01000011.1	RM11-1A	53048	53294	
ARS1103	ARS1103	JRIW01000128.1	SEY6210	52849	53095	
ARS1103	ARS1103	JRIU01000027.1	W303	52875	53121	
ARS1103	ARS1103	JRIX01000074.1	X2180-1A	39671	39917	
ARS1103	ARS1103	JRIF01000081.1	Y55	53204	53450	
ARS1104	ARS1104	JRIQ01000039.1	Sigma1278b	85894	86392	
ARS1104	ARS1104	JRIV01000164.1	CEN.PK2-1Ca	52103	52601	
ARS1104	ARS1104	JRIY01000123.1	D273-10B	52151	52649	
ARS1104	ARS1104	JRIT01000049.1	FL100	85936	86437	
ARS1104	ARS1104	JRIZ01000135.1	JK9-3d	113871	113373	
ARS1104	ARS1104	JRIP01000011.1	RM11-1A	85949	86444	
ARS1104	ARS1104	JRIW01000103.1	SEY6210	368974	368476	
ARS1104	ARS1104	JRIU01000027.1	W303	85932	86430	
ARS1104	ARS1104	JRIX01000074.1	X2180-1A	72786	73284	
ARS1104	ARS1104	JRIF01000027.1	Y55	10082	10577	
ARS1106	ARS1106	JRIQ01000039.1	Sigma1278b	150031	150146	
ARS1106	ARS1106	JRIV01000164.1	CEN.PK2-1Ca	116244	116359	
ARS1106	ARS1106	JRIY01000123.1	D273-10B	116557	116672	
ARS1106	ARS1106	JRIT01000049.1	FL100	150325	150440	
ARS1106	ARS1106	JRIZ01000135.1	JK9-3d	49662	49547	
ARS1106	ARS1106	JRIP01000011.1	RM11-1A	149948	150063	
ARS1106	ARS1106	JRIW01000103.1	SEY6210	304781	304666	
ARS1106	ARS1106	JRIU01000027.1	W303	150386	150501	
ARS1106	ARS1106	JRIX01000074.1	X2180-1A	136993	137108	
ARS1106	ARS1106	JRIF01000131.1	Y55	8143	8258	
ARS1109	ARS1109	JRIQ01000088.1	Sigma1278b	128963	128720	
ARS1109	ARS1109	JRIV01000011.1	CEN.PK2-1Ca	126869	127117	
ARS1109	ARS1109	JRIY01000123.1	D273-10B	292975	293218	
ARS1109	ARS1109	JRIT01000134.1	FL100	26138	26386	
ARS1109	ARS1109	JRIZ01000029.1	JK9-3d	126365	126613	
ARS1109	ARS1109	JRIP01000011.1	RM11-1A	325432	325680	
ARS1109	ARS1109	JRIW01000103.1	SEY6210	128450	128202	
ARS1109	ARS1109	JRIU01000201.1	W303	15212	15460	
ARS1109	ARS1109	JRIX01000101.1	X2180-1A	15211	15459	
ARS1109	ARS1109	JRIF01000109.1	Y55	27297	27540	
ARS1112	ARS1112	JRIV01000011.1	CEN.PK2-1Ca	186184	186478	
ARS1112	ARS1112	JRIY01000028.1	D273-10B	9240	9534	
ARS1112	ARS1112	JRIT01000134.1	FL100	85445	85739	
ARS1112	ARS1112	JRIZ01000029.1	JK9-3d	185682	185976	
ARS1112	ARS1112	JRIW01000103.1	SEY6210	69124	68830	
ARS1112	ARS1112	JRIU01000201.1	W303	74871	75165	
ARS1112	ARS1112	JRIX01000101.1	X2180-1A	74522	74816	
ARS1112	ARS1112	JRIF01000109.1	Y55	86865	87159	
ARS1113	ARS1113	JRIQ01000088.1	Sigma1278b	40915	40683	
ARS1113	ARS1113	JRIV01000011.1	CEN.PK2-1Ca	214399	214631	
ARS1113	ARS1113	JRIY01000028.1	D273-10B	37455	37687	
ARS1113	ARS1113	JRIT01000134.1	FL100	113660	113892	
ARS1113	ARS1113	JRIZ01000029.1	JK9-3d	213897	214129	
ARS1113	ARS1113	JRIP01000011.1	RM11-1A	413038	413268	
ARS1113	ARS1113	JRIW01000103.1	SEY6210	40909	40677	
ARS1113	ARS1113	JRIU01000201.1	W303	103088	103320	
ARS1113	ARS1113	JRIX01000101.1	X2180-1A	102737	102969	
ARS1113	ARS1113	JRIF01000109.1	Y55	115081	115312	
ARS1114	ARS1114	JRIQ01000088.1	Sigma1278b	10150	9916	
ARS1114	ARS1114	JRIV01000011.1	CEN.PK2-1Ca	245234	245468	
ARS1114	ARS1114	JRIY01000028.1	D273-10B	68112	68346	
ARS1114	ARS1114	JRIT01000134.1	FL100	144340	144574	
ARS1114	ARS1114	JRIZ01000029.1	JK9-3d	244599	244833	
ARS1114	ARS1114	JRIP01000011.1	RM11-1A	443599	443833	
ARS1114	ARS1114	JRIW01000103.1	SEY6210	10150	9916	
ARS1114	ARS1114	JRIU01000201.1	W303	133846	134080	
ARS1114	ARS1114	JRIX01000101.1	X2180-1A	133453	133687	
ARS1114	ARS1114	JRIF01000109.1	Y55	145792	146026	
ARS1115	ARS1115	JRIQ01000173.1	Sigma1278b	51299	50262	
ARS1115	ARS1115	JRIV01000011.1	CEN.PK2-1Ca	260113	261135	
ARS1115	ARS1115	JRIY01000001.1	D273-10B	98454	97411	
ARS1115	ARS1115	JRIT01000002.1	FL100	50875	49832	
ARS1115	ARS1115	JRIZ01000029.1	JK9-3d	259350	260393	
ARS1115	ARS1115	JRIP01000162.1	RM11-1A	92914	91873	
ARS1115	ARS1115	JRIW01000046.1	SEY6210	54795	53754	
ARS1115	ARS1115	JRIU01000201.1	W303	148520	149561	
ARS1115	ARS1115	JRIX01000131.1	X2180-1A	4301	5343	
ARS1115	ARS1115	JRIF01000109.1	Y55	160132	161151	
ARS1116	ARS1116	JRIQ01000211.1	Sigma1278b	3066	3314	
ARS1116	ARS1116	JRIV01000116.1	CEN.PK2-1Ca	38778	38530	
ARS1116	ARS1116	JRIY01000001.1	D273-10B	44169	43921	
ARS1116	ARS1116	JRIT01000115.1	FL100	1009	761	
ARS1116	ARS1116	JRIZ01000076.1	JK9-3d	475	227	
ARS1116	ARS1116	JRIP01000162.1	RM11-1A	38617	38369	
ARS1116	ARS1116	JRIW01000046.1	SEY6210	475	227	
ARS1116	ARS1116	JRIU01000201.1	W303	202814	203062	
ARS1116	ARS1116	JRIX01000131.1	X2180-1A	58622	58870	
ARS1116	ARS1116	JRIF01000067.1	Y55	38790	38541	
ARS1118	ARS1118	JRIQ01000020.1	Sigma1278b	80868	80633	
ARS1118	ARS1118	JRIV01000108.1	CEN.PK2-1Ca	77424	77187	
ARS1118	ARS1118	JRIY01000167.1	D273-10B	953	1188	
ARS1118	ARS1118	JRIT01000026.1	FL100	78249	78012	
ARS1118	ARS1118	JRIZ01000204.1	JK9-3d	77105	76868	
ARS1118	ARS1118	JRIP01000159.1	RM11-1A	64131	63894	
ARS1118	ARS1118	JRIW01000170.1	SEY6210	26847	27084	
ARS1118	ARS1118	JRIU01000006.1	W303	3302	3539	
ARS1118	ARS1118	JRIX01000150.1	X2180-1A	78426	78189	
ARS1118	ARS1118	JRIF01000150.1	Y55	77551	77314	
ARS1120	ARS1120	JRIQ01000020.1	Sigma1278b	50324	50239	
ARS1120	ARS1120	JRIV01000108.1	CEN.PK2-1Ca	46878	46792	
ARS1120	ARS1120	JRIY01000167.1	D273-10B	31497	31582	
ARS1120	ARS1120	JRIT01000026.1	FL100	47704	47619	
ARS1120	ARS1120	JRIZ01000204.1	JK9-3d	46560	46475	
ARS1120	ARS1120	JRIP01000159.1	RM11-1A	33585	33500	
ARS1120	ARS1120	JRIW01000170.1	SEY6210	57392	57477	
ARS1120	ARS1120	JRIU01000006.1	W303	33849	33934	
ARS1120	ARS1120	JRIX01000150.1	X2180-1A	47881	47796	
ARS1120	ARS1120	JRIF01000150.1	Y55	47007	46921	
ARS1123	ARS1123	JRIQ01000020.1	Sigma1278b	20033	19787	
ARS1123	ARS1123	JRIV01000108.1	CEN.PK2-1Ca	16533	16287	
